narrative_id,scenario_id,language,script,code_mix_type,narrative_text_original,narrative_text_normalised,variant_type,narrative_completeness,chronology_style,emotionality_level,spelling_noise_level,speech_transcription_style,uncertain_language_present,irrelevant_information_present,reference_date,translation_parent_id,paraphrase_parent_id,source_type,language_reviewer_id,annotation_status,split
NAR000201_HI,SCN000201,hi,Devanagari,none,2026-07-17 को लगभग 18:51 बजे ऑनलाइन प्लेटफॉर्म पर चोरी की घटना हुई।,2026-07-17 को लगभग 18:51 बजे ऑनलाइन प्लेटफॉर्म पर चोरी की घटना हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2024-03-24,NAR000201_EN,,translated_review_required,,unannotated,train
NAR000202_HI,SCN000202,hi,Devanagari,none,लगभग 13:38 बजे कृषि भूमि पर धमकी की घटना हुई।,लगभग 13:38 बजे कृषि भूमि पर धमकी की घटना हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2024-03-02,NAR000202_EN,,translated_review_required,,unannotated,validation
NAR000203_HI,SCN000203,hi,Devanagari,none,लगभग 14:04 बजे उल्लिखित स्थान पर विवाद हुई।,लगभग 14:04 बजे उल्लिखित स्थान पर विवाद हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2024-03-18,NAR000203_EN,,translated_review_required,,unannotated,validation
NAR000204_HI,SCN000204,hi,Devanagari,none,लगभग 07:12 बजे ऑनलाइन प्लेटफॉर्म पर पीछा/स्टॉकिंग की घटना हुई।,लगभग 07:12 बजे ऑनलाइन प्लेटफॉर्म पर पीछा/स्टॉकिंग की घटना हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2024-03-27,NAR000204_EN,,translated_review_required,,unannotated,test
NAR000205_HI,SCN000205,hi,Devanagari,none,लगभग 12:20 बजे अपार्टमेंट पर विवाद हुई।,लगभग 12:20 बजे अपार्टमेंट पर विवाद हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2024-03-25,NAR000205_EN,,translated_review_required,,unannotated,test
NAR000206_HI,SCN000206,hi,Devanagari,none,2026-07-05 को लगभग 17:57 बजे उल्लिखित स्थान पर कानूनी मुद्दे से जुड़ी घटना हुई।,2026-07-05 को लगभग 17:57 बजे उल्लिखित स्थान पर कानूनी मुद्दे से जुड़ी घटना हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2024-03-22,NAR000206_EN,,translated_review_required,,unannotated,train
NAR000207_HI,SCN000207,hi,Devanagari,none,"2026-06-22 को लगभग 20:03 बजे कार्यस्थल पर विवाद हुई। संबंधित राशि: rs,।","2026-06-22 को लगभग 20:03 बजे कार्यस्थल पर विवाद हुई। संबंधित राशि: rs,।",clear_chronological,medium,chronological,neutral,none,False,False,False,2024-03-16,NAR000207_EN,,translated_review_required,,unannotated,train
NAR000208_HI,SCN000208,hi,Devanagari,none,"2026-07-06 को लगभग 23:59 बजे उल्लिखित स्थान पर कानूनी मुद्दे से जुड़ी घटना हुई। संबंधित राशि: rs,।","2026-07-06 को लगभग 23:59 बजे उल्लिखित स्थान पर कानूनी मुद्दे से जुड़ी घटना हुई। संबंधित राशि: rs,।",clear_chronological,medium,chronological,neutral,none,False,False,False,2024-03-11,NAR000208_EN,,translated_review_required,,unannotated,test
NAR000209_HI,SCN000209,hi,Devanagari,none,लगभग 23:44 बजे कार्यस्थल पर उत्पीड़न की घटना हुई।,लगभग 23:44 बजे कार्यस्थल पर उत्पीड़न की घटना हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2024-03-27,NAR000209_EN,,translated_review_required,,unannotated,challenge
NAR000210_HI,SCN000210,hi,Devanagari,none,लगभग 18:19 बजे कृषि भूमि पर कानूनी मुद्दे से जुड़ी घटना हुई।,लगभग 18:19 बजे कृषि भूमि पर कानूनी मुद्दे से जुड़ी घटना हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2024-03-28,NAR000210_EN,,translated_review_required,,unannotated,validation
NAR000211_HI,SCN000211,hi,Devanagari,none,लगभग 23:33 बजे बैंक पर कानूनी मुद्दे से जुड़ी घटना हुई।,लगभग 23:33 बजे बैंक पर कानूनी मुद्दे से जुड़ी घटना हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2024-04-20,NAR000211_EN,,translated_review_required,,unannotated,challenge
NAR000212_HI,SCN000212,hi,Devanagari,none,लगभग 23:10 बजे दुकान पर कानूनी मुद्दे से जुड़ी घटना हुई।,लगभग 23:10 बजे दुकान पर कानूनी मुद्दे से जुड़ी घटना हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2024-04-07,NAR000212_EN,,translated_review_required,,unannotated,challenge
NAR000213_HI,SCN000213,hi,Devanagari,none,"2026-06-28 को लगभग 02:30 बजे उल्लिखित स्थान पर चोरी की घटना हुई। संबंधित राशि: rs,।","2026-06-28 को लगभग 02:30 बजे उल्लिखित स्थान पर चोरी की घटना हुई। संबंधित राशि: rs,।",clear_chronological,medium,chronological,neutral,none,False,False,False,2024-03-27,NAR000213_EN,,translated_review_required,,unannotated,challenge
