entity_id,narrative_id,entity_text,normalised_value,entity_type,entity_role,start_char,end_char,sentence_id,certainty,source_status,coreference_group_id,linked_event_id,sensitive_information,masked_value,annotator_id,reviewer_id
NAR000001_EN_E001,NAR000001_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000001_EN_CG001,EVT000001_001,False,NOT_MASKED,ENT_ANN_001,REV849
NAR000002_EN_E001,NAR000002_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000002_EN_CG001,EVT000002_001,False,NOT_MASKED,ENT_ANN_001,REV549
NAR000003_EN_E001,NAR000003_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000003_EN_CG001,EVT000003_001,False,NOT_MASKED,ENT_ANN_001,REV328
NAR000004_EN_E001,NAR000004_EN,today,2023-01-11,DATE,incident_date,135,140,S002,certain,user_stated,NAR000004_EN_CG001,EVT000004_001,False,NOT_MASKED,ENT_ANN_001,REV705
NAR000005_EN_E001,NAR000005_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000005_EN_CG001,EVT000005_001,False,NOT_MASKED,ENT_ANN_001,REV537
NAR000006_EN_E001,NAR000006_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000006_EN_CG001,EVT000006_001,False,NOT_MASKED,ENT_ANN_001,REV242
NAR000007_EN_E001,NAR000007_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000007_EN_CG001,EVT000007_001,False,NOT_MASKED,ENT_ANN_001,REV842
NAR000008_EN_E001,NAR000008_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000008_EN_CG001,EVT000008_001,False,NOT_MASKED,ENT_ANN_001,REV220
NAR000009_EN_E001,NAR000009_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000009_EN_CG001,EVT000009_001,False,NOT_MASKED,ENT_ANN_001,REV887
NAR000010_EN_E001,NAR000010_EN,car,car,VEHICLE,vehicle_involved,168,171,S002,certain,user_stated,NAR000010_EN_CG001,EVT000010_001,False,NOT_MASKED,ENT_ANN_001,REV622
NAR000011_EN_E001,NAR000011_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000011_EN_CG001,EVT000011_001,False,NOT_MASKED,ENT_ANN_001,REV751
NAR000012_EN_E001,NAR000012_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000012_EN_CG001,EVT000012_001,False,NOT_MASKED,ENT_ANN_001,REV805
NAR000013_EN_E001,NAR000013_EN,I,self-reported complainant,COMPLAINANT,complainant,-1,-1,S001,certain,user_stated,NAR000013_EN_CG001,EVT000013_001,False,NOT_MASKED,ENT_ANN_001,REV882
NAR000014_EN_E001,NAR000014_EN,road,road,LOCATION,incident_location,137,141,S001,certain,user_stated,NAR000014_EN_CG001,EVT000014_001,False,NOT_MASKED,ENT_ANN_001,REV352
