relation_id,narrative_id,event_id_1,event_id_2,relation_type,relation_certainty,source_text,gold_order,annotator_id,reviewer_id
REL000001,NAR000001_EN,EVT000001_001,EVT000001_002,BEFORE,certain,"When I asked the manager to fix it or give my money back, they were super rude and completely brushed me off.",EVT000001_001 precedes EVT000001_002,REL_ANN_001,REV849
REL000002,NAR000002_EN,EVT000002_001,EVT000002_002,BEFORE,probable,"Dear Municipal Authorities, I am writing to formally log a civic grievance regarding the ongoing pattern of noise pollution grievance at the Residential street.",EVT000002_001 precedes EVT000002_002,REL_ANN_001,REV549
REL000003,NAR000003_EN,EVT000003_001,EVT000003_002,CAUSES,certain,The collision or blockage led to structural vehicular property damage and caused a severe traffic bottleneck requiring immediate clearing..,EVT000003_001 causes EVT000003_002,REL_ANN_001,REV328
REL000004,NAR000004_EN,EVT000004_001,EVT000004_002,BEFORE,probable,super sketchy service watch out.,EVT000004_001 precedes EVT000004_002,REL_ANN_001,REV705
REL000005,NAR000005_EN,EVT000005_001,EVT000005_002,BEFORE,probable,An incident of social media hacking compromised security systems across the specified Online platform at 17:10.,EVT000005_001 precedes EVT000005_002,REL_ANN_001,REV537
REL000006,NAR000006_EN,EVT000006_001,EVT000006_002,BEFORE,probable,The observer witnessed an intense disagreement between the management and an employee inside the workplace around 21:28.,EVT000006_001 precedes EVT000006_002,REL_ANN_001,REV242
REL000007,NAR000007_EN,EVT000007_001,EVT000007_002,BEFORE,probable,pls help someone is targeting me with domestic dispute right now at the Apartment!!,EVT000007_001 precedes EVT000007_002,REL_ANN_001,REV842
REL000008,NAR000008_EN,EVT000008_001,EVT000008_002,FOLLOWS,certain,Property ownership documents have been submitted for verification..,EVT000008_001 precedes EVT000008_002,REL_ANN_001,REV220
REL000009,NAR000009_EN,EVT000009_001,EVT000009_002,BEFORE,certain,"Dear Consumer Forum Support, I am writing to formally register a merchant complaint regarding a severe instance of overcharging and hidden fees that occurred at Restaurant on 2026-07-05 at 04:50 hours.",EVT000009_001 precedes EVT000009_002,REL_ANN_001,REV887
REL000010,NAR000010_EN,EVT000010_001,EVT000010_002,FOLLOWS,certain,The internal auditor observed highly irregular transaction entries passing through the shop around 09:18.,EVT000010_001 precedes EVT000010_002,REL_ANN_001,REV622
REL000011,NAR000011_EN,EVT000011_001,EVT000011_002,BEFORE,probable,Security personnel were subsequently informed to review the breach of safety within the jurisdiction..,EVT000011_001 precedes EVT000011_002,REL_ANN_001,REV751
