narrative_id,scenario_id,language,script,code_mix_type,narrative_text_original,narrative_text_normalised,variant_type,narrative_completeness,chronology_style,emotionality_level,spelling_noise_level,speech_transcription_style,uncertain_language_present,irrelevant_information_present,reference_date,translation_parent_id,paraphrase_parent_id,source_type,language_reviewer_id,annotation_status,split
NAR000101_EN,SCN000101,en,Latin,none,"I want to report an incident. The observer noted a clear altercation developing at the counter of the online platform around 15:46. A customer was contesting a distinct case of refusal of service refund, showing clear evidence to the merchant, who continuously refused liability or proper resolution. I am sharing all the details so that appropriate legal guidance can be provided.","I want to report an incident. The observer noted a clear altercation developing at the counter of the online platform around 15:46. A customer was contesting a distinct case of refusal of service refund, showing clear evidence to the merchant, who continuously refused liability or proper resolution. I am sharing all the details so that appropriate legal guidance can be provided.",formal,medium,chronological,moderate,none,False,False,False,2023-08-22,,,human_written,,unannotated,validation
NAR000102_EN,SCN000102,en,Latin,none,"I want to report an incident. It happened again at home around 12:48. Things escalated so quickly and it turned into full-blown emotional and verbal abuse. I was locked inside the room and couldn't even reach out to anyone until now. I honestly don't know what to do anymore, I am so scared. I am sharing all the details so that appropriate legal guidance can be provided.","I want to report an incident. It happened again at home around 12:48. Things escalated so quickly and it turned into full-blown emotional and verbal abuse. I was locked inside the room and couldn't even reach out to anyone until now. I honestly don't know what to do anymore, I am so scared. I am sharing all the details so that appropriate legal guidance can be provided.",formal,medium,chronological,moderate,none,False,False,False,2023-08-27,,,human_written,,unannotated,challenge
NAR000103_EN,SCN000103,en,Latin,none,"I want to report an incident. The observer noticed two suspicious individuals loitering near the shop around 10:55. Shortly after, they approached the victim from behind, forcefully committed shopbreaking, and fled the scene on a two-wheeler heading north. I am sharing all the details so that appropriate legal guidance can be provided.","I want to report an incident. The observer noticed two suspicious individuals loitering near the shop around 10:55. Shortly after, they approached the victim from behind, forcefully committed shopbreaking, and fled the scene on a two-wheeler heading north. I am sharing all the details so that appropriate legal guidance can be provided.",formal,medium,chronological,moderate,none,False,False,False,2023-08-12,,,human_written,,unannotated,challenge
NAR000104_EN,SCN000104,en,Latin,none,"I want to report an incident. hey guys, my ex just blocked me from seeing the kids / resolving the guardianship dispute at the House around 00:43 today. completely violating the current terms. does anyone know a reliable family court lawyer who can file an urgent motion tomorrow? I am sharing all the details so that appropriate legal guidance can be provided.","I want to report an incident. hey guys, my ex just blocked me from seeing the kids / resolving the guardianship dispute at the House around 00:43 today. completely violating the current terms. does anyone know a reliable family court lawyer who can file an urgent motion tomorrow? I am sharing all the details so that appropriate legal guidance can be provided.",formal,medium,chronological,moderate,none,False,False,False,2023-08-14,,,human_written,,unannotated,validation
NAR000105_EN,SCN000105,en,Latin,none,"I want to report an incident. A transactional incident concerning defective product delivery broke out at the local online platform at 19:41. The buyer alleged a direct breach of contractual terms regarding product quality or billing accuracy, resulting in an active consumer dispute. I am sharing all the details so that appropriate legal guidance can be provided.","I want to report an incident. A transactional incident concerning defective product delivery broke out at the local online platform at 19:41. The buyer alleged a direct breach of contractual terms regarding product quality or billing accuracy, resulting in an active consumer dispute. I am sharing all the details so that appropriate legal guidance can be provided.",formal,medium,chronological,moderate,none,False,False,False,2023-08-21,,,human_written,,unannotated,validation
NAR000106_EN,SCN000106,en,Latin,none,"I want to report an incident. Complainant reports a structural civil grievance regarding boundary wall dispute at the site located in house. On 2026-07-02 at 06:38 hours, opposing parties gathered and attempted unauthorized physical alterations. Property ownership documents have been submitted for verification. I am sharing all the details so that appropriate legal guidance can be provided.","I want to report an incident. Complainant reports a structural civil grievance regarding boundary wall dispute at the site located in house. On 2026-07-02 at 06:38 hours, opposing parties gathered and attempted unauthorized physical alterations. Property ownership documents have been submitted for verification. I am sharing all the details so that appropriate legal guidance can be provided.",formal,medium,chronological,moderate,none,False,False,False,2023-08-20,,,human_written,,unannotated,test
NAR000107_EN,SCN000107,en,Latin,none,"I want to report an incident. On the date of 2026-07-11, an advanced threat actor initiated an exploit categorized under ransomware attack targeting remote infrastructures at approximately 10:11. The intrusion vectors reveal highly organized techniques using social engineering methods or brute-force automation to penetrate authorization systems on the Workplace. Immediate isolation of the network endpoints was executed to limit exposure within the regional jurisdiction. I am sharing all the details so that appropriate legal guidance can be provided.","I want to report an incident. On the date of 2026-07-11, an advanced threat actor initiated an exploit categorized under ransomware attack targeting remote infrastructures at approximately 10:11. The intrusion vectors reveal highly organized techniques using social engineering methods or brute-force automation to penetrate authorization systems on the Workplace. Immediate isolation of the network endpoints was executed to limit exposure within the regional jurisdiction. I am sharing all the details so that appropriate legal guidance can be provided.",formal,medium,chronological,moderate,none,False,False,False,2023-08-27,,,human_written,,unannotated,challenge
NAR000108_EN,SCN000108,en,Latin,none,"I want to report an incident. On the date of 2026-07-10, a major institutional friction classified as breach of employment contract materialized at the specified office at approximately 23:22. The circumstances indicate structured operational non-compliance by the management regarding standard working protocols or financial settlements, directly compromising employee protections. Internal grievance workflows were completely bypassed by leadership, compelling the affected party to seek statutory legal remedies through regional labor councils. I am sharing all the details so that appropriate legal guidance can be provided.","I want to report an incident. On the date of 2026-07-10, a major institutional friction classified as breach of employment contract materialized at the specified office at approximately 23:22. The circumstances indicate structured operational non-compliance by the management regarding standard working protocols or financial settlements, directly compromising employee protections. Internal grievance workflows were completely bypassed by leadership, compelling the affected party to seek statutory legal remedies through regional labor councils. I am sharing all the details so that appropriate legal guidance can be provided.",formal,medium,chronological,moderate,none,False,False,False,2023-08-21,,,human_written,,unannotated,challenge
NAR000109_EN,SCN000109,en,Latin,none,"I want to report an incident. Complainant registers a formal grievance concerning employer violations under the category of safe working conditions violation at the designated workplace. The incident occurred on 2026-07-20 at approximately 08:38 hours, wherein the management failed to comply with statutory labor provisions. Corporate payroll and logs have been requested. I am sharing all the details so that appropriate legal guidance can be provided.","I want to report an incident. Complainant registers a formal grievance concerning employer violations under the category of safe working conditions violation at the designated workplace. The incident occurred on 2026-07-20 at approximately 08:38 hours, wherein the management failed to comply with statutory labor provisions. Corporate payroll and logs have been requested. I am sharing all the details so that appropriate legal guidance can be provided.",formal,medium,chronological,moderate,none,False,False,False,2023-08-21,,,human_written,,unannotated,challenge
NAR000110_EN,SCN000110,en,Latin,none,"I want to report an incident. On the date of 2026-06-29, a minor unclassified neighborhood disruption manifesting as public nuisance dispute materialized at the specified road at approximately 06:57 hours. The incident details demonstrate a clear operational or administrative failure concerning municipal upkeep or public behavior regulations, causing secondary delays for community residents. Local community leaders have logged an official complaint to expedite resolution within the state jurisdiction. I am sharing all the details so that appropriate legal guidance can be provided.","I want to report an incident. On the date of 2026-06-29, a minor unclassified neighborhood disruption manifesting as public nuisance dispute materialized at the specified road at approximately 06:57 hours. The incident details demonstrate a clear operational or administrative failure concerning municipal upkeep or public behavior regulations, causing secondary delays for community residents. Local community leaders have logged an official complaint to expedite resolution within the state jurisdiction. I am sharing all the details so that appropriate legal guidance can be provided.",formal,medium,chronological,moderate,none,False,False,False,2023-08-22,,,human_written,,unannotated,train
NAR000111_EN,SCN000111,en,Latin,none,"I want to report an incident. The system administrator observed anomalous traffic originating from unauthorized servers around 00:48, confirming a systemwide phishing scam. The victim was actively manipulated into bypassing authentication protocols on the Mobile app platform. I am sharing all the details so that appropriate legal guidance can be provided.","I want to report an incident. The system administrator observed anomalous traffic originating from unauthorized servers around 00:48, confirming a systemwide phishing scam. The victim was actively manipulated into bypassing authentication protocols on the Mobile app platform. I am sharing all the details so that appropriate legal guidance can be provided.",formal,medium,chronological,moderate,none,False,False,False,2023-08-18,,,human_written,,unannotated,train
