narrative_id,scenario_id,language,script,code_mix_type,narrative_text_original,narrative_text_normalised,variant_type,narrative_completeness,chronology_style,emotionality_level,spelling_noise_level,speech_transcription_style,uncertain_language_present,irrelevant_information_present,reference_date,translation_parent_id,paraphrase_parent_id,source_type,language_reviewer_id,annotation_status,split
NAR000201_HL,SCN000201,hi-en,Mixed,Hinglish,"On 2026-07-17, around 18:51, online प्लेटफॉर्म पर चोरी हुआ।","On 2026-07-17, around 18:51, online प्लेटफॉर्म पर चोरी हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-03-24,,NAR000201_EN,synthetic_reviewed,,unannotated,train
NAR000202_HL,SCN000202,hi-en,Mixed,Hinglish,"Around 13:38, कृषि भूमि पर धमकी हुआ।","Around 13:38, कृषि भूमि पर धमकी हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-03-02,,NAR000202_EN,synthetic_reviewed,,unannotated,validation
NAR000203_HL,SCN000203,hi-en,Mixed,Hinglish,"Around 14:04, mentioned जगह पर विवाद हुआ।","Around 14:04, mentioned जगह पर विवाद हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-03-18,,NAR000203_EN,synthetic_reviewed,,unannotated,validation
NAR000204_HL,SCN000204,hi-en,Mixed,Hinglish,"Around 07:12, online प्लेटफॉर्म पर पीछा हुआ।","Around 07:12, online प्लेटफॉर्म पर पीछा हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-03-27,,NAR000204_EN,synthetic_reviewed,,unannotated,test
NAR000205_HL,SCN000205,hi-en,Mixed,Hinglish,"Around 12:20, अपार्टमेंट पर विवाद हुआ।","Around 12:20, अपार्टमेंट पर विवाद हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-03-25,,NAR000205_EN,synthetic_reviewed,,unannotated,test
NAR000206_HL,SCN000206,hi-en,Mixed,Hinglish,"On 2026-07-05, around 17:57, mentioned जगह पर कानूनी issue हुआ।","On 2026-07-05, around 17:57, mentioned जगह पर कानूनी issue हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-03-22,,NAR000206_EN,synthetic_reviewed,,unannotated,train
NAR000207_HL,SCN000207,hi-en,Mixed,Hinglish,"On 2026-06-22, around 20:03, कार्यस्थल पर विवाद हुआ। Related amount rs, था।","On 2026-06-22, around 20:03, कार्यस्थल पर विवाद हुआ। Related amount rs, था।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-03-16,,NAR000207_EN,synthetic_reviewed,,unannotated,train
NAR000208_HL,SCN000208,hi-en,Mixed,Hinglish,"On 2026-07-06, around 23:59, mentioned जगह पर कानूनी issue हुआ। Related amount rs, था।","On 2026-07-06, around 23:59, mentioned जगह पर कानूनी issue हुआ। Related amount rs, था।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-03-11,,NAR000208_EN,synthetic_reviewed,,unannotated,test
NAR000209_HL,SCN000209,hi-en,Mixed,Hinglish,"Around 23:44, कार्यस्थल पर उत्पीड़न हुआ।","Around 23:44, कार्यस्थल पर उत्पीड़न हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-03-27,,NAR000209_EN,synthetic_reviewed,,unannotated,challenge
NAR000210_HL,SCN000210,hi-en,Mixed,Hinglish,"Around 18:19, कृषि भूमि पर कानूनी issue हुआ।","Around 18:19, कृषि भूमि पर कानूनी issue हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-03-28,,NAR000210_EN,synthetic_reviewed,,unannotated,validation
NAR000211_HL,SCN000211,hi-en,Mixed,Hinglish,"Around 23:33, बैंक पर कानूनी issue हुआ।","Around 23:33, बैंक पर कानूनी issue हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-04-20,,NAR000211_EN,synthetic_reviewed,,unannotated,challenge
NAR000212_HL,SCN000212,hi-en,Mixed,Hinglish,"Around 23:10, दुकान पर कानूनी issue हुआ।","Around 23:10, दुकान पर कानूनी issue हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-04-07,,NAR000212_EN,synthetic_reviewed,,unannotated,challenge
NAR000213_HL,SCN000213,hi-en,Mixed,Hinglish,"On 2026-06-28, around 02:30, mentioned जगह पर चोरी हुआ। Related amount rs, था।","On 2026-06-28, around 02:30, mentioned जगह पर चोरी हुआ। Related amount rs, था।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-03-27,,NAR000213_EN,synthetic_reviewed,,unannotated,challenge
NAR000214_HL,SCN000214,hi-en,Mixed,Hinglish,"Around 01:13, online प्लेटफॉर्म पर विवाद हुआ।","Around 01:13, online प्लेटफॉर्म पर विवाद हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-04-27,,NAR000214_EN,synthetic_reviewed,,unannotated,test
NAR000215_HL,SCN000215,hi-en,Mixed,Hinglish,"Around 17:47, घर पर कानूनी issue हुआ।","Around 17:47, घर पर कानूनी issue हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-04-23,,NAR000215_EN,synthetic_reviewed,,unannotated,test
NAR000216_HL,SCN000216,hi-en,Mixed,Hinglish,"On 2026-06-27, around 19:56, छात्रावास पर धोखाधड़ी हुआ। Related amount rs, था।","On 2026-06-27, around 19:56, छात्रावास पर धोखाधड़ी हुआ। Related amount rs, था।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-04-03,,NAR000216_EN,synthetic_reviewed,,unannotated,test
NAR000217_HL,SCN000217,hi-en,Mixed,Hinglish,"On 2026-06-29, around 22:48, घर पर विवाद हुआ।","On 2026-06-29, around 22:48, घर पर विवाद हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-04-13,,NAR000217_EN,synthetic_reviewed,,unannotated,validation
NAR000218_HL,SCN000218,hi-en,Mixed,Hinglish,"On 2026-06-24, around 19:53, online प्लेटफॉर्म पर उत्पीड़न हुआ। Related amount rs, था।","On 2026-06-24, around 19:53, online प्लेटफॉर्म पर उत्पीड़न हुआ। Related amount rs, था।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-04-05,,NAR000218_EN,synthetic_reviewed,,unannotated,validation
NAR000219_HL,SCN000219,hi-en,Mixed,Hinglish,"On 2026-07-10, घर पर कानूनी issue हुआ।","On 2026-07-10, घर पर कानूनी issue हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-04-23,,NAR000219_EN,synthetic_reviewed,,unannotated,challenge
NAR000220_HL,SCN000220,hi-en,Mixed,Hinglish,"Around 20:57, आवासीय street पर कानूनी issue हुआ।","Around 20:57, आवासीय street पर कानूनी issue हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-05-01,,NAR000220_EN,synthetic_reviewed,,unannotated,train
NAR000221_HL,SCN000221,hi-en,Mixed,Hinglish,"Around 15:19, mentioned जगह पर धोखाधड़ी हुआ।","Around 15:19, mentioned जगह पर धोखाधड़ी हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-04-29,,NAR000221_EN,synthetic_reviewed,,unannotated,challenge
NAR000222_HL,SCN000222,hi-en,Mixed,Hinglish,"Around 04:18, दुकान पर कानूनी issue हुआ।","Around 04:18, दुकान पर कानूनी issue हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-04-16,,NAR000222_EN,synthetic_reviewed,,unannotated,validation
NAR000223_HL,SCN000223,hi-en,Mixed,Hinglish,"On 2026-06-25, around 15:38, दुकान पर धमकी हुआ। Related amount rs, था।","On 2026-06-25, around 15:38, दुकान पर धमकी हुआ। Related amount rs, था।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-05-14,,NAR000223_EN,synthetic_reviewed,,unannotated,train
NAR000224_HL,SCN000224,hi-en,Mixed,Hinglish,"On 2026-07-06, around 06:59, mentioned जगह पर कानूनी issue हुआ। Related amount rs, था।","On 2026-07-06, around 06:59, mentioned जगह पर कानूनी issue हुआ। Related amount rs, था।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-04-25,,NAR000224_EN,synthetic_reviewed,,unannotated,test
NAR000225_HL,SCN000225,hi-en,Mixed,Hinglish,"On 2026-07-10, around 03:01, mentioned जगह पर कानूनी issue हुआ। Related amount rs, था।","On 2026-07-10, around 03:01, mentioned जगह पर कानूनी issue हुआ। Related amount rs, था।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-04-23,,NAR000225_EN,synthetic_reviewed,,unannotated,train
NAR000226_HL,SCN000226,hi-en,Mixed,Hinglish,"Around 00:57, mentioned जगह पर विवाद हुआ।","Around 00:57, mentioned जगह पर विवाद हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-04-24,,NAR000226_EN,synthetic_reviewed,,unannotated,train
NAR000227_HL,SCN000227,hi-en,Mixed,Hinglish,"On 2026-07-04, around 08:59, mentioned जगह पर कानूनी issue हुआ। Related amount rs, था।","On 2026-07-04, around 08:59, mentioned जगह पर कानूनी issue हुआ। Related amount rs, था।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-05-20,,NAR000227_EN,synthetic_reviewed,,unannotated,challenge
NAR000228_HL,SCN000228,hi-en,Mixed,Hinglish,"On 2026-07-09, around 01:47, अपार्टमेंट पर विवाद हुआ।","On 2026-07-09, around 01:47, अपार्टमेंट पर विवाद हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-04-26,,NAR000228_EN,synthetic_reviewed,,unannotated,test
NAR000229_HL,SCN000229,hi-en,Mixed,Hinglish,"On 2026-06-25, around 22:25, online प्लेटफॉर्म पर उत्पीड़न हुआ। Related amount rs, था।","On 2026-06-25, around 22:25, online प्लेटफॉर्म पर उत्पीड़न हुआ। Related amount rs, था।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-05-18,,NAR000229_EN,synthetic_reviewed,,unannotated,challenge
NAR000230_HL,SCN000230,hi-en,Mixed,Hinglish,"On 2026-07-08, around 16:43, कार्यालय पर धोखाधड़ी हुआ। Related amount rs, था।","On 2026-07-08, around 16:43, कार्यालय पर धोखाधड़ी हुआ। Related amount rs, था।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-05-30,,NAR000230_EN,synthetic_reviewed,,unannotated,train
NAR000231_HL,SCN000231,hi-en,Mixed,Hinglish,"Around 23:25, mentioned जगह पर उत्पीड़न हुआ।","Around 23:25, mentioned जगह पर उत्पीड़न हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-05-02,,NAR000231_EN,synthetic_reviewed,,unannotated,train
NAR000232_HL,SCN000232,hi-en,Mixed,Hinglish,"Around 15:17, घर पर धमकी हुआ।","Around 15:17, घर पर धमकी हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-05-26,,NAR000232_EN,synthetic_reviewed,,unannotated,train
NAR000233_HL,SCN000233,hi-en,Mixed,Hinglish,"On 2026-06-21, around 06:19, mentioned जगह पर कानूनी issue हुआ।","On 2026-06-21, around 06:19, mentioned जगह पर कानूनी issue हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-05-30,,NAR000233_EN,synthetic_reviewed,,unannotated,test
NAR000234_HL,SCN000234,hi-en,Mixed,Hinglish,"Around 07:37, घर पर कानूनी issue हुआ।","Around 07:37, घर पर कानूनी issue हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-06-05,,NAR000234_EN,synthetic_reviewed,,unannotated,test
NAR000235_HL,SCN000235,hi-en,Mixed,Hinglish,"On 2026-06-20, around 10:11, राजमार्ग पर कानूनी issue हुआ।","On 2026-06-20, around 10:11, राजमार्ग पर कानूनी issue हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-05-23,,NAR000235_EN,synthetic_reviewed,,unannotated,challenge
NAR000236_HL,SCN000236,hi-en,Mixed,Hinglish,"On 2026-06-30, around 16:42, दुकान पर धमकी हुआ। Related amount rs, था।","On 2026-06-30, around 16:42, दुकान पर धमकी हुआ। Related amount rs, था।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-06-04,,NAR000236_EN,synthetic_reviewed,,unannotated,test
NAR000237_HL,SCN000237,hi-en,Mixed,Hinglish,"Around 11:00, सड़क पर विवाद हुआ।","Around 11:00, सड़क पर विवाद हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-05-21,,NAR000237_EN,synthetic_reviewed,,unannotated,train
NAR000238_HL,SCN000238,hi-en,Mixed,Hinglish,"On 2026-07-10, around 13:21, mentioned जगह पर कानूनी issue हुआ। Related amount rs, था।","On 2026-07-10, around 13:21, mentioned जगह पर कानूनी issue हुआ। Related amount rs, था।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-05-24,,NAR000238_EN,synthetic_reviewed,,unannotated,validation
NAR000239_HL,SCN000239,hi-en,Mixed,Hinglish,"On 2026-06-27, around 12:42, पार्क पर विवाद हुआ। Related amount rs, था।","On 2026-06-27, around 12:42, पार्क पर विवाद हुआ। Related amount rs, था।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-06-01,,NAR000239_EN,synthetic_reviewed,,unannotated,train
NAR000240_HL,SCN000240,hi-en,Mixed,Hinglish,"Around 18:05, दुकान पर विवाद हुआ।","Around 18:05, दुकान पर विवाद हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-06-01,,NAR000240_EN,synthetic_reviewed,,unannotated,challenge
NAR000241_HL,SCN000241,hi-en,Mixed,Hinglish,"Around 18:09, सड़क पर टक्कर हुआ।","Around 18:09, सड़क पर टक्कर हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-06-13,,NAR000241_EN,synthetic_reviewed,,unannotated,train
NAR000242_HL,SCN000242,hi-en,Mixed,Hinglish,"Around 17:54, आवासीय street पर कानूनी issue हुआ।","Around 17:54, आवासीय street पर कानूनी issue हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-06-12,,NAR000242_EN,synthetic_reviewed,,unannotated,train
NAR000243_HL,SCN000243,hi-en,Mixed,Hinglish,"Around 11:12, सड़क पर कानूनी issue हुआ।","Around 11:12, सड़क पर कानूनी issue हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-06-14,,NAR000243_EN,synthetic_reviewed,,unannotated,validation
NAR000244_HL,SCN000244,hi-en,Mixed,Hinglish,"On 2026-07-13, around 20:44, दुकान पर हमला हुआ।","On 2026-07-13, around 20:44, दुकान पर हमला हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-06-23,,NAR000244_EN,synthetic_reviewed,,unannotated,test
NAR000245_HL,SCN000245,hi-en,Mixed,Hinglish,"On 2026-06-24, around 15:26, कार्यस्थल पर चोरी हुआ।","On 2026-06-24, around 15:26, कार्यस्थल पर चोरी हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-06-02,,NAR000245_EN,synthetic_reviewed,,unannotated,validation
NAR000246_HL,SCN000246,hi-en,Mixed,Hinglish,"Around 12:08, mentioned जगह पर विवाद हुआ।","Around 12:08, mentioned जगह पर विवाद हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-06-19,,NAR000246_EN,synthetic_reviewed,,unannotated,challenge
NAR000247_HL,SCN000247,hi-en,Mixed,Hinglish,"On 2026-07-16, around 02:58, दुकान पर कानूनी issue हुआ।","On 2026-07-16, around 02:58, दुकान पर कानूनी issue हुआ।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-06-10,,NAR000247_EN,synthetic_reviewed,,unannotated,test
NAR000248_HL,SCN000248,hi-en,Mixed,Hinglish,"On 2026-06-23, around 08:45, कार्यालय पर कानूनी issue हुआ। Related amount rs, था।","On 2026-06-23, around 08:45, कार्यालय पर कानूनी issue हुआ। Related amount rs, था।",code_mixed,medium,chronological,neutral,none,False,False,False,2024-06-22,,NAR000248_EN,synthetic_reviewed,,unannotated,challenge
