passage_id,document_id,document_title,document_type,act_year,section_number,subsection_number,heading,official_text,plain_language_summary_en,plain_language_summary_hi,topics,procedural_stage,jurisdiction_country,jurisdiction_state,source_authority,source_reference,source_type,source_language,publication_date,effective_from,effective_to,amendment_status,active_status,retrieved_date,last_verified_date,review_status,reviewer_id,licence_or_reuse_notes
LP_ACCOUNT_SECURITY_001,DOC_IT_2000,"Information Technology Act, 2000",Legislation,2000,1,NONE,Account security after unauthorised access,"Official-source retrieval record for Information Technology Act, 2000, section 1, heading Account security after unauthorised access. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for cybercrime, account_security questions under Information Technology Act, 2000. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage cybercrime, account_security se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",cybercrime;account_security,reporting,India,ALL_INDIA,Ministry of Electronics and Information Technology,https://www.indiacode.nic.in/handle/123456789/1999,Official legislation,English,2000-06-09,2000-10-17,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
LP_ARREST_RIGHTS_001,DOC_BNSS_2023,"Bharatiya Nagarik Suraksha Sanhita, 2023",Legislation,2023,2,NONE,Arrest rights and information to person arrested,"Official-source retrieval record for Bharatiya Nagarik Suraksha Sanhita, 2023, section 2, heading Arrest rights and information to person arrested. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for arrest, rights questions under Bharatiya Nagarik Suraksha Sanhita, 2023. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage arrest, rights se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",arrest;rights,investigation,India,ALL_INDIA,Ministry of Home Affairs,https://www.indiacode.nic.in/handle/123456789/20099,Official legislation,English,2023-12-25,2024-07-01,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
LP_BAIL_001,DOC_BNSS_2023,"Bharatiya Nagarik Suraksha Sanhita, 2023",Legislation,2023,3,NONE,Bail and release process overview,"Official-source retrieval record for Bharatiya Nagarik Suraksha Sanhita, 2023, section 3, heading Bail and release process overview. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for bail, arrest questions under Bharatiya Nagarik Suraksha Sanhita, 2023. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage bail, arrest se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",bail;arrest,investigation,India,ALL_INDIA,Ministry of Home Affairs,https://www.indiacode.nic.in/handle/123456789/20099,Official legislation,English,2023-12-25,2024-07-01,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
LP_CHILD_CUSTODY_001,DOC_PWDVA_2005,"Protection of Women from Domestic Violence Act, 2005",Legislation,2005,4,NONE,Child custody and protection-related relief,"Official-source retrieval record for Protection of Women from Domestic Violence Act, 2005, section 4, heading Child custody and protection-related relief. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for child_custody, domestic_violence questions under Protection of Women from Domestic Violence Act, 2005. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage child_custody, domestic_violence se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",child_custody;domestic_violence,consultation,India,ALL_INDIA,Ministry of Women and Child Development,https://www.indiacode.nic.in/handle/123456789/2021,Official legislation,English,2005-09-13,2006-10-26,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
LP_CONSUMER_COMPLAINT_001,DOC_CPA_2019,"Consumer Protection Act, 2019",Legislation,2019,5,NONE,Consumer complaint route and forum selection,"Official-source retrieval record for Consumer Protection Act, 2019, section 5, heading Consumer complaint route and forum selection. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for consumer_complaint, refund questions under Consumer Protection Act, 2019. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage consumer_complaint, refund se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",consumer_complaint;refund,consultation,India,ALL_INDIA,"Ministry of Consumer Affairs, Food and Public Distribution",https://www.indiacode.nic.in/handle/123456789/15256,Official legislation,English,2019-08-09,2020-07-20,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
LP_CRIME_REPORTING_001,DOC_BNSS_2023,"Bharatiya Nagarik Suraksha Sanhita, 2023",Legislation,2023,6,NONE,Giving information to police about an offence,"Official-source retrieval record for Bharatiya Nagarik Suraksha Sanhita, 2023, section 6, heading Giving information to police about an offence. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for complaint, fir, police_report questions under Bharatiya Nagarik Suraksha Sanhita, 2023. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage complaint, fir, police_report se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",complaint;fir;police_report,reporting,India,ALL_INDIA,Ministry of Home Affairs,https://www.indiacode.nic.in/handle/123456789/20099,Official legislation,English,2023-12-25,2024-07-01,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
LP_CYBER_REPORTING_001,DOC_IT_2000,"Information Technology Act, 2000",Legislation,2000,7,NONE,Cybercrime reporting and computer-resource misuse,"Official-source retrieval record for Information Technology Act, 2000, section 7, heading Cybercrime reporting and computer-resource misuse. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for cybercrime, reporting questions under Information Technology Act, 2000. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage cybercrime, reporting se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",cybercrime;reporting,reporting,India,ALL_INDIA,Ministry of Electronics and Information Technology,https://www.indiacode.nic.in/handle/123456789/1999,Official legislation,English,2000-06-09,2000-10-17,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
LP_DIGITAL_EVIDENCE_001,DOC_BSA_2023,"Bharatiya Sakshya Adhiniyam, 2023",Legislation,2023,8,NONE,Digital record preservation and electronic evidence,"Official-source retrieval record for Bharatiya Sakshya Adhiniyam, 2023, section 8, heading Digital record preservation and electronic evidence. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for electronic_evidence, digital_record questions under Bharatiya Sakshya Adhiniyam, 2023. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage electronic_evidence, digital_record se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",electronic_evidence;digital_record,investigation,India,ALL_INDIA,Ministry of Home Affairs,https://www.indiacode.nic.in/handle/123456789/20063,Official legislation,English,2023-12-25,2024-07-01,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
LP_DLSA_001,DOC_LSA_1987,"Legal Services Authorities Act, 1987",Legislation,1987,9,NONE,District Legal Services Authority route,"Official-source retrieval record for Legal Services Authorities Act, 1987, section 9, heading District Legal Services Authority route. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for legal_aid, district_authority questions under Legal Services Authorities Act, 1987. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage legal_aid, district_authority se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",legal_aid;district_authority,legal aid,India,ALL_INDIA,Ministry of Law and Justice,https://www.indiacode.nic.in/handle/123456789/1925?view_type=browse,Official legislation,English,1987-10-11,1995-11-09,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
LP_DOMESTIC_VIOLENCE_001,DOC_PWDVA_2005,"Protection of Women from Domestic Violence Act, 2005",Legislation,2005,10,NONE,Domestic violence protection and support route,"Official-source retrieval record for Protection of Women from Domestic Violence Act, 2005, section 10, heading Domestic violence protection and support route. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for domestic_violence, protection_order questions under Protection of Women from Domestic Violence Act, 2005. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage domestic_violence, protection_order se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",domestic_violence;protection_order,reporting,India,ALL_INDIA,Ministry of Women and Child Development,https://www.indiacode.nic.in/handle/123456789/2021,Official legislation,English,2005-09-13,2006-10-26,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
LP_ECOMMERCE_001,DOC_CPA_2019,"Consumer Protection Act, 2019",Legislation,2019,11,NONE,E-commerce consumer grievance context,"Official-source retrieval record for Consumer Protection Act, 2019, section 11, heading E-commerce consumer grievance context. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for ecommerce, consumer_complaint questions under Consumer Protection Act, 2019. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage ecommerce, consumer_complaint se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",ecommerce;consumer_complaint,consultation,India,ALL_INDIA,"Ministry of Consumer Affairs, Food and Public Distribution",https://www.indiacode.nic.in/handle/123456789/15256,Official legislation,English,2019-08-09,2020-07-20,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
LP_EMERGENCY_HELP_001,DOC_BNSS_2023,"Bharatiya Nagarik Suraksha Sanhita, 2023",Legislation,2023,12,NONE,Emergency safety and urgent police response context,"Official-source retrieval record for Bharatiya Nagarik Suraksha Sanhita, 2023, section 12, heading Emergency safety and urgent police response context. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for emergency, police_help questions under Bharatiya Nagarik Suraksha Sanhita, 2023. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage emergency, police_help se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",emergency;police_help,reporting,India,ALL_INDIA,Ministry of Home Affairs,https://www.indiacode.nic.in/handle/123456789/20099,Official legislation,English,2023-12-25,2024-07-01,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
LP_FAMILY_COURT_001,DOC_PWDVA_2005,"Protection of Women from Domestic Violence Act, 2005",Legislation,2005,13,NONE,Family safety proceedings and relief linkage,"Official-source retrieval record for Protection of Women from Domestic Violence Act, 2005, section 13, heading Family safety proceedings and relief linkage. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for family, domestic_safety questions under Protection of Women from Domestic Violence Act, 2005. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage family, domestic_safety se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",family;domestic_safety,consultation,India,ALL_INDIA,Ministry of Women and Child Development,https://www.indiacode.nic.in/handle/123456789/2021,Official legislation,English,2005-09-13,2006-10-26,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
LP_FINANCIAL_CYBER_FRAUD_001,DOC_IT_2000,"Information Technology Act, 2000",Legislation,2000,14,NONE,Financial cyber fraud and urgent account action,"Official-source retrieval record for Information Technology Act, 2000, section 14, heading Financial cyber fraud and urgent account action. Verify exact statutory wording against source_reference before legal deployment.","This passage supports retrieval for financial_fraud, cybercrime questions under Information Technology Act, 2000. It should be used to orient the user, identify missing facts, and route the matter safely without guaranteeing an outcome.","Yeh passage financial_fraud, cybercrime se jude sawalon ke liye sahayak hai. Iska upyog safe guidance, missing facts aur sahi route batane ke liye karein.",financial_fraud;cybercrime,reporting,India,ALL_INDIA,Ministry of Electronics and Information Technology,https://www.indiacode.nic.in/handle/123456789/1999,Official legislation,English,2000-06-09,2000-10-17,NONE,Active,True,2026-07-20,2026-07-20,Unreviewed,LAW_REV_PENDING,Official legal source reference recorded for research use; verify exact text and reuse terms before publication.
