narrative_id,scenario_id,language,script,code_mix_type,narrative_text_original,narrative_text_normalised,variant_type,narrative_completeness,chronology_style,emotionality_level,spelling_noise_level,speech_transcription_style,uncertain_language_present,irrelevant_information_present,reference_date,translation_parent_id,paraphrase_parent_id,source_type,language_reviewer_id,annotation_status,split
NAR000501_HI,SCN000501,hi,Devanagari,none,2026-07-10 को लगभग 11:07 बजे उल्लिखित स्थान पर कानूनी मुद्दे से जुड़ी घटना हुई।,2026-07-10 को लगभग 11:07 बजे उल्लिखित स्थान पर कानूनी मुद्दे से जुड़ी घटना हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2025-12-06,NAR000501_EN,,translated_review_required,,unannotated,challenge
NAR000502_HI,SCN000502,hi,Devanagari,none,लगभग 21:55 बजे अपार्टमेंट पर विवाद हुई।,लगभग 21:55 बजे अपार्टमेंट पर विवाद हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2025-11-30,NAR000502_EN,,translated_review_required,,unannotated,train
NAR000503_HI,SCN000503,hi,Devanagari,none,"2026-06-29 को लगभग 21:00 बजे उल्लिखित स्थान पर कानूनी मुद्दे से जुड़ी घटना हुई। संबंधित राशि: rs,।","2026-06-29 को लगभग 21:00 बजे उल्लिखित स्थान पर कानूनी मुद्दे से जुड़ी घटना हुई। संबंधित राशि: rs,।",clear_chronological,medium,chronological,neutral,none,False,False,False,2025-12-11,NAR000503_EN,,translated_review_required,,unannotated,validation
NAR000504_HI,SCN000504,hi,Devanagari,none,"2026-07-11 को लगभग 12:02 बजे ऑनलाइन प्लेटफॉर्म पर धोखाधड़ी की घटना हुई। संबंधित राशि: rs,।","2026-07-11 को लगभग 12:02 बजे ऑनलाइन प्लेटफॉर्म पर धोखाधड़ी की घटना हुई। संबंधित राशि: rs,।",clear_chronological,medium,chronological,neutral,none,False,False,False,2025-12-05,NAR000504_EN,,translated_review_required,,unannotated,train
NAR000505_HI,SCN000505,hi,Devanagari,none,2026-07-12 को आवासीय सड़क पर कानूनी मुद्दे से जुड़ी घटना हुई।,2026-07-12 को आवासीय सड़क पर कानूनी मुद्दे से जुड़ी घटना हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2025-12-24,NAR000505_EN,,translated_review_required,,unannotated,validation
NAR000506_HI,SCN000506,hi,Devanagari,none,लगभग 09:43 बजे उल्लिखित स्थान पर स्नैचिंग की घटना हुई।,लगभग 09:43 बजे उल्लिखित स्थान पर स्नैचिंग की घटना हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2025-12-04,NAR000506_EN,,translated_review_required,,unannotated,validation
NAR000507_HI,SCN000507,hi,Devanagari,none,2026-06-22 को लगभग 11:16 बजे घर पर कानूनी मुद्दे से जुड़ी घटना हुई।,2026-06-22 को लगभग 11:16 बजे घर पर कानूनी मुद्दे से जुड़ी घटना हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2025-12-03,NAR000507_EN,,translated_review_required,,unannotated,challenge
NAR000508_HI,SCN000508,hi,Devanagari,none,लगभग 21:41 बजे अपार्टमेंट पर कानूनी मुद्दे से जुड़ी घटना हुई।,लगभग 21:41 बजे अपार्टमेंट पर कानूनी मुद्दे से जुड़ी घटना हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2025-12-23,NAR000508_EN,,translated_review_required,,unannotated,test
NAR000509_HI,SCN000509,hi,Devanagari,none,लगभग 00:44 बजे दुकान पर कानूनी मुद्दे से जुड़ी घटना हुई।,लगभग 00:44 बजे दुकान पर कानूनी मुद्दे से जुड़ी घटना हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2026-01-12,NAR000509_EN,,translated_review_required,,unannotated,train
NAR000510_HI,SCN000510,hi,Devanagari,none,2026-07-08 को लगभग 06:13 बजे दुकान पर विवाद हुई।,2026-07-08 को लगभग 06:13 बजे दुकान पर विवाद हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2025-12-31,NAR000510_EN,,translated_review_required,,unannotated,test
NAR000511_HI,SCN000511,hi,Devanagari,none,लगभग 18:33 बजे कार्यालय पर जालसाजी की घटना हुई।,लगभग 18:33 बजे कार्यालय पर जालसाजी की घटना हुई।,clear_chronological,medium,chronological,neutral,none,False,False,False,2026-01-02,NAR000511_EN,,translated_review_required,,unannotated,validation
