query_id,query_group_id,language,script,code_mix_type,query_text_original,query_text_normalised,user_intent,legal_domain,issue_labels,urgency_class,current_danger,jurisdiction_required,jurisdiction_available,missing_information,escalation_required,answerable_from_corpus,gold_followup_question_ids,gold_passage_ids,safe_answer_text,disclaimer_required,answer_confidence_label,split
QLQ000001_en,QLG000001,en,Latin,None,Police are refusing to take my complaint after a theft. What should I do?,police are refusing to take my complaint after a theft. what should i do?,ask_procedure,Crime reporting,police_refusal;theft_reporting,normal,False,True,True,incident location and police station name,False,True,FQ_QUICK_001,LP_CRIME_REPORTING_001,"General guidance: You can ask the police station to record your information, request reasons if they refuse, and escalate to a senior police officer or appropriate complaint channel. If there is immediate danger, contact emergency services first. This is not a substitute for a lawyer or emergency service.",True,high,train
QLQ000002_hi,QLG000001,hi,Devanagari,None,Police theft complaint lene se mana kar rahi hai. Mujhe kya karna chahiye?,police theft complaint lene se mana kar rahi hai. mujhe kya karna chahiye?,ask_procedure,Crime reporting,police_refusal;theft_reporting,normal,False,True,True,incident location and police station name,False,True,FQ_QUICK_001,LP_CRIME_REPORTING_001,"Sadharan margdarshan: You can ask the police station to record your information, request reasons if they refuse, and escalate to a senior police officer or appropriate complaint channel. If there is immediate danger, contact emergency services first. Yeh lawyer ya emergency service ka badal nahi hai.",True,high,train
QLQ000003_hiLatn,QLG000001,hi-Latn,mixed,Hinglish,Hinglish mein simple steps batao: Police theft complaint lene se mana kar rahi hai. Mujhe kya karna chahiye?,hinglish mein simple steps batao: police theft complaint lene se mana kar rahi hai. mujhe kya karna chahiye?,ask_procedure,Crime reporting,police_refusal;theft_reporting,normal,False,True,True,incident location and police station name,False,True,FQ_QUICK_001,LP_CRIME_REPORTING_001,"General guidance: You can ask the police station to record your information, request reasons if they refuse, and escalate to a senior police officer or appropriate complaint channel. If there is immediate danger, contact emergency services first. Yeh lawyer ya emergency service ka substitute nahi hai.",True,high,train
QLQ000004_en,QLG000002,en,Latin,None,Can I file a police complaint if the offence happened in another city?,can i file a police complaint if the offence happened in another city?,ask_procedure,Crime reporting,jurisdiction;zero_fir,normal,False,True,True,state and place of incident,False,True,FQ_QUICK_002,LP_FIR_PROCESS_001,"General guidance: For serious offences, you may ask about Zero FIR or transfer to the proper police station. The exact process can depend on the state and offence, so share the incident location. This is not a substitute for a lawyer or emergency service.",True,high,train
QLQ000005_hi,QLG000002,hi,Devanagari,None,Kya main doosre shehar mein hui ghatna ke liye police complaint de sakta hoon?,kya main doosre shehar mein hui ghatna ke liye police complaint de sakta hoon?,ask_procedure,Crime reporting,jurisdiction;zero_fir,normal,False,True,True,state and place of incident,False,True,FQ_QUICK_002,LP_FIR_PROCESS_001,"Sadharan margdarshan: For serious offences, you may ask about Zero FIR or transfer to the proper police station. The exact process can depend on the state and offence, so share the incident location. Yeh lawyer ya emergency service ka badal nahi hai.",True,high,train
QLQ000006_hiLatn,QLG000002,hi-Latn,mixed,Hinglish,Kya main doosre city mein hui incident ke liye police complaint de sakta hoon?,kya main doosre city mein hui incident ke liye police complaint de sakta hoon?,ask_procedure,Crime reporting,jurisdiction;zero_fir,normal,False,True,True,state and place of incident,False,True,FQ_QUICK_002,LP_FIR_PROCESS_001,"General guidance: For serious offences, you may ask about Zero FIR or transfer to the proper police station. The exact process can depend on the state and offence, so share the incident location. Yeh lawyer ya emergency service ka substitute nahi hai.",True,high,train
QLQ000007_en,QLG000003,en,Latin,None,Someone threatened me online. Is this reportable?,someone threatened me online. is this reportable?,ask_eligibility,Crime reporting,online_threat;cybercrime_reporting,urgent,True,True,True,"threat content, platform, and current danger",True,True,FQ_QUICK_003,LP_ZERO_FIR_001,"General guidance: Online threats can be reportable, especially if they include intimidation, extortion, stalking, or risk of violence. Preserve screenshots and avoid engaging further. If you are in immediate danger, contact emergency help. This is not a substitute for a lawyer or emergency service.",True,high,train
QLQ000008_hi,QLG000003,hi,Devanagari,None,Kisi ne mujhe online dhamki di hai. Kya main report kar sakta hoon?,kisi ne mujhe online dhamki di hai. kya main report kar sakta hoon?,ask_eligibility,Crime reporting,online_threat;cybercrime_reporting,urgent,True,True,True,"threat content, platform, and current danger",True,True,FQ_QUICK_003,LP_ZERO_FIR_001,"Sadharan margdarshan: Online threats can be reportable, especially if they include intimidation, extortion, stalking, or risk of violence. Preserve screenshots and avoid engaging further. If you are in immediate danger, contact emergency help. Yeh lawyer ya emergency service ka badal nahi hai.",True,high,train
QLQ000009_hiLatn,QLG000003,hi-Latn,mixed,Hinglish,Kisi ne mujhe online threat diya hai. Kya main report kar sakta hoon?,kisi ne mujhe online threat diya hai. kya main report kar sakta hoon?,ask_eligibility,Crime reporting,online_threat;cybercrime_reporting,urgent,True,True,True,"threat content, platform, and current danger",True,True,FQ_QUICK_003,LP_ZERO_FIR_001,"General guidance: Online threats can be reportable, especially if they include intimidation, extortion, stalking, or risk of violence. Preserve screenshots and avoid engaging further. If you are in immediate danger, contact emergency help. Yeh lawyer ya emergency service ka substitute nahi hai.",True,high,train
QLQ000010_en,QLG000004,en,Latin,None,Is it necessary to know the accused person name before reporting?,is it necessary to know the accused person name before reporting?,ask_requirement,Crime reporting,unknown_accused;complaint_drafting,normal,False,False,False,known facts and available identifiers,False,True,FQ_QUICK_004,LP_EMERGENCY_HELP_001,"General guidance: You can usually report known facts even if you do not know the accused person name. Describe identifiers, evidence, location, timing, and how the incident happened. This is not a substitute for a lawyer or emergency service.",True,high,train
QLQ000011_hi,QLG000004,hi,Devanagari,None,Report karne se pehle kya accused ka naam pata hona zaruri hai?,report karne se pehle kya accused ka naam pata hona zaruri hai?,ask_requirement,Crime reporting,unknown_accused;complaint_drafting,normal,False,False,False,known facts and available identifiers,False,True,FQ_QUICK_004,LP_EMERGENCY_HELP_001,"Sadharan margdarshan: You can usually report known facts even if you do not know the accused person name. Describe identifiers, evidence, location, timing, and how the incident happened. Yeh lawyer ya emergency service ka badal nahi hai.",True,high,train
QLQ000012_hiLatn,QLG000004,hi-Latn,mixed,Hinglish,Report karne se pehle kya accused ka naam pata hona zaroori hai?,report karne se pehle kya accused ka naam pata hona zaroori hai?,ask_requirement,Crime reporting,unknown_accused;complaint_drafting,normal,False,False,False,known facts and available identifiers,False,True,FQ_QUICK_004,LP_EMERGENCY_HELP_001,"General guidance: You can usually report known facts even if you do not know the accused person name. Describe identifiers, evidence, location, timing, and how the incident happened. Yeh lawyer ya emergency service ka substitute nahi hai.",True,high,train
QLQ000013_en,QLG000005,en,Latin,None,What details should I write in a complaint about assault?,what details should i write in a complaint about assault?,ask_procedure,Crime reporting,assault;complaint_contents,urgent,False,True,True,"injury, threat, weapon, location, date, witnesses",False,True,FQ_QUICK_005,LP_CRIME_REPORTING_001,"General guidance: Mention date, time, place, what was said or done, injuries, weapons if any, witnesses, evidence, and whether you need immediate protection or medical help. This is not a substitute for a lawyer or emergency service.",True,high,train
QLQ000014_hi,QLG000005,hi,Devanagari,None,Assault complaint mein kaunsi details likhni chahiye?,assault complaint mein kaunsi details likhni chahiye?,ask_procedure,Crime reporting,assault;complaint_contents,urgent,False,True,True,"injury, threat, weapon, location, date, witnesses",False,True,FQ_QUICK_005,LP_CRIME_REPORTING_001,"Sadharan margdarshan: Mention date, time, place, what was said or done, injuries, weapons if any, witnesses, evidence, and whether you need immediate protection or medical help. Yeh lawyer ya emergency service ka badal nahi hai.",True,high,train
QLQ000015_hiLatn,QLG000005,hi-Latn,mixed,Hinglish,Hinglish mein simple steps batao: Assault complaint mein kaunsi details likhni chahiye?,hinglish mein simple steps batao: assault complaint mein kaunsi details likhni chahiye?,ask_procedure,Crime reporting,assault;complaint_contents,urgent,False,True,True,"injury, threat, weapon, location, date, witnesses",False,True,FQ_QUICK_005,LP_CRIME_REPORTING_001,"General guidance: Mention date, time, place, what was said or done, injuries, weapons if any, witnesses, evidence, and whether you need immediate protection or medical help. Yeh lawyer ya emergency service ka substitute nahi hai.",True,high,train
QLQ000016_en,QLG000006,en,Latin,None,Can I report harassment if I only have screenshots?,can i report harassment if i only have screenshots?,ask_eligibility,Crime reporting,harassment;evidence,normal,False,True,True,"platform, sender identity, screenshot authenticity",False,True,FQ_QUICK_006,LP_FIR_PROCESS_001,"General guidance: Screenshots can be useful evidence. Keep originals, note dates and platforms, and avoid editing them. The authority may ask for account links or device details. This is not a substitute for a lawyer or emergency service.",True,high,train
QLQ000017_hi,QLG000006,hi,Devanagari,None,Agar mere paas sirf screenshots hain to kya harassment report kar sakta hoon?,agar mere paas sirf screenshots hain to kya harassment report kar sakta hoon?,ask_eligibility,Crime reporting,harassment;evidence,normal,False,True,True,"platform, sender identity, screenshot authenticity",False,True,FQ_QUICK_006,LP_FIR_PROCESS_001,"Sadharan margdarshan: Screenshots can be useful evidence. Keep originals, note dates and platforms, and avoid editing them. The authority may ask for account links or device details. Yeh lawyer ya emergency service ka badal nahi hai.",True,high,train
QLQ000018_hiLatn,QLG000006,hi-Latn,mixed,Hinglish,Agar mere paas only screenshots hain to kya harassment report kar sakta hoon?,agar mere paas only screenshots hain to kya harassment report kar sakta hoon?,ask_eligibility,Crime reporting,harassment;evidence,normal,False,True,True,"platform, sender identity, screenshot authenticity",False,True,FQ_QUICK_006,LP_FIR_PROCESS_001,"General guidance: Screenshots can be useful evidence. Keep originals, note dates and platforms, and avoid editing them. The authority may ask for account links or device details. Yeh lawyer ya emergency service ka substitute nahi hai.",True,high,train
QLQ000019_en,QLG000007,en,Latin,None,What should I do if I am being followed right now?,what should i do if i am being followed right now?,request_help,Crime reporting,stalking;current_danger,emergency,True,True,True,current location and immediate safety status,True,True,FQ_QUICK_007,LP_ZERO_FIR_001,"General guidance: Move to a safe public place if possible, contact emergency services or trusted people, and avoid confronting the person. Legal reporting can happen after immediate safety is addressed. This is not a substitute for a lawyer or emergency service.",True,medium,train
QLQ000020_hi,QLG000007,hi,Devanagari,None,Agar koi mujhe abhi follow kar raha hai to mujhe kya karna chahiye?,agar koi mujhe abhi follow kar raha hai to mujhe kya karna chahiye?,request_help,Crime reporting,stalking;current_danger,emergency,True,True,True,current location and immediate safety status,True,True,FQ_QUICK_007,LP_ZERO_FIR_001,"Sadharan margdarshan: Move to a safe public place if possible, contact emergency services or trusted people, and avoid confronting the person. Legal reporting can happen after immediate safety is addressed. Yeh lawyer ya emergency service ka badal nahi hai.",True,medium,train
QLQ000021_hiLatn,QLG000007,hi-Latn,mixed,Hinglish,Agar koi mujhe abhi follow kar raha hai to kya karna chahiye?,agar koi mujhe abhi follow kar raha hai to kya karna chahiye?,request_help,Crime reporting,stalking;current_danger,emergency,True,True,True,current location and immediate safety status,True,True,FQ_QUICK_007,LP_ZERO_FIR_001,"General guidance: Move to a safe public place if possible, contact emergency services or trusted people, and avoid confronting the person. Legal reporting can happen after immediate safety is addressed. Yeh lawyer ya emergency service ka substitute nahi hai.",True,medium,train
QLQ000022_en,QLG000008,en,Latin,None,Can I withdraw a complaint after filing it?,can i withdraw a complaint after filing it?,ask_consequence,Crime reporting,complaint_withdrawal;procedure,normal,False,True,False,offence type and case stage,False,False,FQ_QUICK_008,LP_EMERGENCY_HELP_001,"General guidance: Withdrawal depends on the offence, case stage, and authority or court process. Some matters cannot be simply withdrawn privately. Share the offence type and case status. This is not a substitute for a lawyer or emergency service.",True,insufficient-information,train
QLQ000023_hi,QLG000008,hi,Devanagari,None,Complaint file karne ke baad kya main use wapas le sakta hoon?,complaint file karne ke baad kya main use wapas le sakta hoon?,ask_consequence,Crime reporting,complaint_withdrawal;procedure,normal,False,True,False,offence type and case stage,False,False,FQ_QUICK_008,LP_EMERGENCY_HELP_001,"Sadharan margdarshan: Withdrawal depends on the offence, case stage, and authority or court process. Some matters cannot be simply withdrawn privately. Share the offence type and case status. Yeh lawyer ya emergency service ka badal nahi hai.",True,insufficient-information,train
QLQ000024_hiLatn,QLG000008,hi-Latn,mixed,Hinglish,Complaint file karne ke baad kya main withdraw kar sakta hoon?,complaint file karne ke baad kya main withdraw kar sakta hoon?,ask_consequence,Crime reporting,complaint_withdrawal;procedure,normal,False,True,False,offence type and case stage,False,False,FQ_QUICK_008,LP_EMERGENCY_HELP_001,"General guidance: Withdrawal depends on the offence, case stage, and authority or court process. Some matters cannot be simply withdrawn privately. Share the offence type and case status. Yeh lawyer ya emergency service ka substitute nahi hai.",True,insufficient-information,train
QLQ000025_en,QLG000009,en,Latin,None,Do I need a lawyer to file an FIR?,do i need a lawyer to file an fir?,ask_requirement,Crime reporting,fir;legal_representation,normal,False,False,False,offence type and police station,False,True,FQ_QUICK_009,LP_CRIME_REPORTING_001,"General guidance: A lawyer is not always required to approach police, but legal help can be useful if there is refusal, pressure, serious injury, or complex facts. This is not a substitute for a lawyer or emergency service.",True,high,train
QLQ000026_hi,QLG000009,hi,Devanagari,None,FIR file karne ke liye kya lawyer zaruri hai?,fir file karne ke liye kya lawyer zaruri hai?,ask_requirement,Crime reporting,fir;legal_representation,normal,False,False,False,offence type and police station,False,True,FQ_QUICK_009,LP_CRIME_REPORTING_001,"Sadharan margdarshan: A lawyer is not always required to approach police, but legal help can be useful if there is refusal, pressure, serious injury, or complex facts. Yeh lawyer ya emergency service ka badal nahi hai.",True,high,train
QLQ000027_hiLatn,QLG000009,hi-Latn,mixed,Hinglish,FIR file karne ke liye kya lawyer needed hai?,fir file karne ke liye kya lawyer needed hai?,ask_requirement,Crime reporting,fir;legal_representation,normal,False,False,False,offence type and police station,False,True,FQ_QUICK_009,LP_CRIME_REPORTING_001,"General guidance: A lawyer is not always required to approach police, but legal help can be useful if there is refusal, pressure, serious injury, or complex facts. Yeh lawyer ya emergency service ka substitute nahi hai.",True,high,train
QLQ000028_en,QLG000010,en,Latin,None,Police asked me to settle instead of taking my complaint. Is that okay?,police asked me to settle instead of taking my complaint. is that okay?,ask_consequence,Crime reporting,police_refusal;settlement_pressure,urgent,False,True,True,offence type and whether threat continues,True,True,FQ_QUICK_010,LP_FIR_PROCESS_001,"General guidance: For serious or cognizable allegations, you can ask for proper recording and escalation rather than informal pressure. Immediate safety and evidence preservation should come first. This is not a substitute for a lawyer or emergency service.",True,high,train
