event_id,narrative_id,event_type,action_text,actor_entity_ids,target_entity_ids,object_entity_ids,location_entity_id,date_expression,normalised_date,time_expression,normalised_time,time_period,time_precision,method,result,event_status,source_sentence,source_start_char,source_end_char,certainty,chronological_order,linked_evidence_ids,user_confirmation_status,annotator_id,reviewer_id
EVT000001_001,NAR000001_EN,DECEPTIVE_REPRESENTATION,false advertising and misrepresentation,NONE,NAR000001_EN_E001,NONE,NONE,not_stated,2023-01-01,20:41,20:41,evening,exact,merchant misrepresentation or refusal to resolve,"Consumer suffered a disputed purchase, refund, quality, or billing loss",completed,"So I went to this shop around 20:41 and explicitly paid for premium service, but I faced absolute false advertising and misrepresentation instead.",0,146,certain,1,NONE,pending,EVT_ANN_001,REV849
EVT000001_002,NAR000001_EN,PERSON_APPROACHED,remedy requested from other party,NAR000001_EN_E001,NONE,NONE,NONE,not_stated,2023-01-01,20:41,20:41,evening,approximate,complainant approached or confronted the other party,Complainant requested a remedy or confronted the other party,completed,"When I asked the manager to fix it or give my money back, they were super rude and completely brushed me off.",147,256,certain,2,NONE,pending,EVT_ANN_001,REV849
EVT000002_001,NAR000002_EN,PUBLIC_NUISANCE_REPORTED,noise pollution grievance,NONE,NAR000002_EN_E001,NONE,NONE,2026-07-17,2026-07-17,23:20,23:20,night,exact,civic nuisance or hazard,"Public comfort, access, or civic safety was affected",unclear,"Dear Municipal Authorities, I am writing to formally log a civic grievance regarding the ongoing pattern of noise pollution grievance at the Residential street.",0,160,certain,1,NONE,pending,EVT_ANN_001,REV549
EVT000002_002,NAR000002_EN,INCIDENT_REPORTED,complaint or incident report made,NAR000002_EN_E001,NONE,NONE,NONE,2026-07-17,2026-07-17,23:20,23:20,night,approximate,formal or informal reporting by complainant,Incident was reported or legal guidance was sought,completed,"Dear Municipal Authorities, I am writing to formally log a civic grievance regarding the ongoing pattern of noise pollution grievance at the Residential street.",0,160,probable,2,NONE,pending,EVT_ANN_001,REV549
EVT000003_001,NAR000003_EN,PROPERTY_DAMAGED,drunk driving accident,NONE,NAR000003_EN_E001,NONE,NONE,not_stated,2023-01-07,06:27,06:27,morning,exact,unsafe or unlawful road conduct,"Vehicle movement, road safety, or property damage was affected",completed,A vehicular incident involving drunk driving accident occurred on the local highway at 06:27.,0,93,certain,1,NONE,pending,EVT_ANN_001,REV328
EVT000003_002,NAR000003_EN,TRAFFIC_OBSTRUCTION,traffic obstruction followed incident,NAR000003_EN_E001,NONE,NONE,NONE,not_stated,2023-01-07,06:27,06:27,morning,approximate,road blockage or bottleneck after incident,Road access or vehicle movement was blocked,completed,The collision or blockage led to structural vehicular property damage and caused a severe traffic bottleneck requiring immediate clearing..,94,233,certain,2,NONE,pending,EVT_ANN_001,REV328
EVT000004_001,NAR000004_EN,DECEPTIVE_REPRESENTATION,false advertising and misrepresentation,NONE,NONE,NONE,NONE,today,2023-01-11,07:45,07:45,morning,exact,merchant misrepresentation or refusal to resolve,"Consumer suffered a disputed purchase, refund, quality, or billing loss",completed,just experienced a massive false advertising and misrepresentation around 07:45 today.,55,141,certain,1,NONE,pending,EVT_ANN_001,REV705
EVT000004_002,NAR000004_EN,INCIDENT_REPORTED,incident details shared,NONE,NONE,NONE,NONE,today,2023-01-11,07:45,07:45,morning,approximate,complainant shared incident details for guidance,Incident details were shared for guidance,completed,super sketchy service watch out.,210,242,probable,2,NONE,pending,EVT_ANN_001,REV705
EVT000005_001,NAR000005_EN,DECEPTIVE_REPRESENTATION,social media hacking,NONE,NAR000005_EN_E001,NONE,NONE,not_stated,2023-01-12,17:10,17:10,evening,exact,online credential manipulation,"Money, account access, or financial control was compromised",completed,An incident of social media hacking compromised security systems across the specified Online platform at 17:10.,0,111,certain,1,NONE,pending,EVT_ANN_001,REV537
EVT000005_002,NAR000005_EN,INCIDENT_REPORTED,incident details shared,NAR000005_EN_E001,NONE,NONE,NONE,not_stated,2023-01-12,17:10,17:10,evening,exact,complainant shared incident details for guidance,Incident details were shared for guidance,completed,An incident of social media hacking compromised security systems across the specified Online platform at 17:10.,0,111,probable,2,NONE,pending,EVT_ANN_001,REV537
