answer_id,question_id,narrative_id,language,answer_text_original,answer_text_normalised,answer_type,updated_slot_name,updated_slot_value,answer_certainty,introduces_new_event,introduces_new_entity,introduces_contradiction,completeness_before,completeness_after,accepted_as_gold,reviewer_id
ANS000001,Q000001_en,NAR000001_EN,en,"For the false advertising and misrepresentation at Shop on 2023-01-01 around 20:41, my answer for product or service is: premium service package.",premium service package,text,product_or_service,premium service package,approximate,False,False,False,0.60,0.84,True,REV849
ANS000002,Q000002_hi,NAR000001_EN,hi,"false advertising and misrepresentation Shop par 2023-01-01 ko 20:41 ke aas-paas, product or service ke liye mera jawab hai: premium service package.",premium service package,text,product_or_service,premium service package,approximate,False,False,False,0.60,0.84,True,REV849
ANS000003,Q000003_hiLatn,NAR000001_EN,hi-Latn,"false advertising and misrepresentation Shop par 2023-01-01 ko 20:41 ke aas-paas, product or service ke liye mera answer hai: premium service package.",premium service package,text,product_or_service,premium service package,approximate,False,False,False,0.60,0.84,True,REV849
ANS000004,Q000004_en,NAR000001_EN,en,"For the false advertising and misrepresentation at Shop on 2023-01-01 around 20:41, my answer for evidence available is: I have the payment screenshot and chat with the seller.",i have the payment screenshot and chat with the seller,text,evidence_available,I have the payment screenshot and chat with the seller,certain,False,False,False,0.55,0.87,True,REV849
ANS000005,Q000005_hi,NAR000001_EN,hi,"false advertising and misrepresentation Shop par 2023-01-01 ko 20:41 ke aas-paas, evidence available ke liye mera jawab hai: I have the payment screenshot and chat with the seller.",i have the payment screenshot and chat with the seller,text,evidence_available,I have the payment screenshot and chat with the seller,certain,False,False,False,0.55,0.87,True,REV849
ANS000006,Q000006_hiLatn,NAR000001_EN,hi-Latn,"false advertising and misrepresentation Shop par 2023-01-01 ko 20:41 ke aas-paas, evidence available ke liye mera answer hai: I have the payment screenshot and chat with the seller.",i have the payment screenshot and chat with the seller,text,evidence_available,I have the payment screenshot and chat with the seller,certain,False,False,False,0.55,0.87,True,REV849
ANS000007,Q000007_en,NAR000002_EN,en,"For the noise pollution grievance at Residential street on 2023-01-01 around 23:20, my answer for risk to public is: The noise continues late at night and disturbs nearby residents.",the noise continues late at night and disturbs nearby residents,text,risk_to_public,The noise continues late at night and disturbs nearby residents,approximate,False,False,False,0.60,0.84,True,REV549
ANS000008,Q000008_hi,NAR000002_EN,hi,"noise pollution grievance Residential street par 2023-01-01 ko 23:20 ke aas-paas, risk to public ke liye mera jawab hai: The noise continues late at night and disturbs nearby residents.",the noise continues late at night and disturbs nearby residents,text,risk_to_public,The noise continues late at night and disturbs nearby residents,approximate,False,False,False,0.60,0.84,True,REV549
ANS000009,Q000009_hiLatn,NAR000002_EN,hi-Latn,"noise pollution grievance Residential street par 2023-01-01 ko 23:20 ke aas-paas, risk to public ke liye mera answer hai: The noise continues late at night and disturbs nearby residents.",the noise continues late at night and disturbs nearby residents,text,risk_to_public,The noise continues late at night and disturbs nearby residents,approximate,False,False,False,0.60,0.84,True,REV549
ANS000010,Q000010_en,NAR000002_EN,en,"For the noise pollution grievance at Residential street on 2023-01-01 around 23:20, my answer for item or property affected is: local public area.",local public area,text,item_or_property_affected,local public area,certain,False,False,False,0.55,0.87,True,REV549
ANS000011,Q000011_hi,NAR000002_EN,hi,"noise pollution grievance Residential street par 2023-01-01 ko 23:20 ke aas-paas, item or property affected ke liye mera jawab hai: local public area.",local public area,text,item_or_property_affected,local public area,certain,False,False,False,0.55,0.87,True,REV549
ANS000012,Q000012_hiLatn,NAR000002_EN,hi-Latn,"noise pollution grievance Residential street par 2023-01-01 ko 23:20 ke aas-paas, item or property affected ke liye mera answer hai: local public area.",local public area,text,item_or_property_affected,local public area,certain,False,False,False,0.55,0.87,True,REV549
ANS000013,Q000013_en,NAR000002_EN,en,"For the noise pollution grievance at Residential street on 2023-01-01 around 23:20, my answer for authority to contact is: municipality.",municipality,category,authority_to_contact,municipality,certain,True,False,False,0.55,0.87,True,REV549
ANS000014,Q000014_hi,NAR000002_EN,hi,"noise pollution grievance Residential street par 2023-01-01 ko 23:20 ke aas-paas, authority to contact ke liye mera jawab hai: municipality.",municipality,category,authority_to_contact,municipality,certain,True,False,False,0.55,0.87,True,REV549
ANS000015,Q000015_hiLatn,NAR000002_EN,hi-Latn,"noise pollution grievance Residential street par 2023-01-01 ko 23:20 ke aas-paas, authority to contact ke liye mera answer hai: municipality.",municipality,category,authority_to_contact,municipality,certain,True,False,False,0.55,0.87,True,REV549
ANS000016,Q000016_en,NAR000003_EN,en,"For the drunk driving accident at Highway on 2023-01-07 around 06:27, my answer for vehicle details is: A white car was involved, but I could not note the full number.","a white car was involved, but i could not note the full number",text,vehicle_details,"A white car was involved, but I could not note the full number",unsure,False,False,False,0.60,0.72,True,REV328
ANS000017,Q000017_hi,NAR000003_EN,hi,"drunk driving accident Highway par 2023-01-07 ko 06:27 ke aas-paas, vehicle details ke liye mera jawab hai: A white car was involved, but I could not note the full number.","a white car was involved, but i could not note the full number",text,vehicle_details,"A white car was involved, but I could not note the full number",unsure,False,False,False,0.60,0.72,True,REV328
ANS000018,Q000018_hiLatn,NAR000003_EN,hi-Latn,"drunk driving accident Highway par 2023-01-07 ko 06:27 ke aas-paas, vehicle details ke liye mera answer hai: A white car was involved, but I could not note the full number.","a white car was involved, but i could not note the full number",text,vehicle_details,"A white car was involved, but I could not note the full number",unsure,False,False,False,0.60,0.72,True,REV328
ANS000019,Q000019_en,NAR000003_EN,en,"For the drunk driving accident at Highway on 2023-01-07 around 06:27, my answer for offending vehicle left is: unsure.",unsure,boolean,offending_vehicle_left,unsure,unsure,False,False,False,0.55,0.67,True,REV328
ANS000020,Q000020_hi,NAR000003_EN,hi,"drunk driving accident Highway par 2023-01-07 ko 06:27 ke aas-paas, offending vehicle left ke liye mera jawab hai: unsure.",unsure,boolean,offending_vehicle_left,unsure,unsure,False,False,False,0.55,0.67,True,REV328
ANS000021,Q000021_hiLatn,NAR000003_EN,hi-Latn,"drunk driving accident Highway par 2023-01-07 ko 06:27 ke aas-paas, offending vehicle left ke liye mera answer hai: unsure.",unsure,boolean,offending_vehicle_left,unsure,unsure,False,False,False,0.55,0.67,True,REV328
ANS000022,Q000022_en,NAR000004_EN,en,"For the false advertising and misrepresentation at Showroom on 2023-01-11 around 07:45, my answer for product or service is: premium service package.",premium service package,text,product_or_service,premium service package,approximate,False,False,False,0.60,0.84,True,REV705
ANS000023,Q000023_hi,NAR000004_EN,hi,"false advertising and misrepresentation Showroom par 2023-01-11 ko 07:45 ke aas-paas, product or service ke liye mera jawab hai: premium service package.",premium service package,text,product_or_service,premium service package,approximate,False,False,False,0.60,0.84,True,REV705
ANS000024,Q000024_hiLatn,NAR000004_EN,hi-Latn,"false advertising and misrepresentation Showroom par 2023-01-11 ko 07:45 ke aas-paas, product or service ke liye mera answer hai: premium service package.",premium service package,text,product_or_service,premium service package,approximate,False,False,False,0.60,0.84,True,REV705
ANS000025,Q000025_en,NAR000004_EN,en,"For the false advertising and misrepresentation at Showroom on 2023-01-11 around 07:45, my answer for evidence available is: I have the payment screenshot and chat with the seller.",i have the payment screenshot and chat with the seller,text,evidence_available,I have the payment screenshot and chat with the seller,certain,False,False,False,0.55,0.87,True,REV705
