narrative_id,scenario_id,language,script,code_mix_type,narrative_text_original,narrative_text_normalised,variant_type,narrative_completeness,chronology_style,emotionality_level,spelling_noise_level,speech_transcription_style,uncertain_language_present,irrelevant_information_present,reference_date,translation_parent_id,paraphrase_parent_id,source_type,language_reviewer_id,annotation_status,split
NAR000101_HI,SCN000101,hi-en,Mixed,Hinglish,"Around 15:46, mentioned जगह पर कानूनी issue हुआ।","Around 15:46, mentioned जगह पर कानूनी issue हुआ।",code_mixed,medium,chronological,moderate,none,False,False,False,2023-08-22,,NAR000101_HI,synthetic_reviewed,,unannotated,validation
NAR000102_HI,SCN000102,hi-en,Mixed,Hinglish,"Around 12:48, mentioned जगह पर कानूनी issue हुआ।","Around 12:48, mentioned जगह पर कानूनी issue हुआ।",code_mixed,medium,chronological,moderate,none,False,False,False,2023-08-27,,NAR000102_HI,synthetic_reviewed,,unannotated,challenge
NAR000103_HI,SCN000103,hi-en,Mixed,Hinglish,"Around 10:55, mentioned जगह पर कानूनी issue हुआ।","Around 10:55, mentioned जगह पर कानूनी issue हुआ।",code_mixed,medium,chronological,moderate,none,False,False,False,2023-08-12,,NAR000103_HI,synthetic_reviewed,,unannotated,challenge
NAR000104_HI,SCN000104,hi-en,Mixed,Hinglish,"Around 00:43, mentioned जगह पर कानूनी issue हुआ।","Around 00:43, mentioned जगह पर कानूनी issue हुआ।",code_mixed,medium,chronological,moderate,none,False,False,False,2023-08-14,,NAR000104_HI,synthetic_reviewed,,unannotated,validation
NAR000105_HI,SCN000105,hi-en,Mixed,Hinglish,"Around 19:41, mentioned जगह पर कानूनी issue हुआ।","Around 19:41, mentioned जगह पर कानूनी issue हुआ।",code_mixed,medium,chronological,moderate,none,False,False,False,2023-08-21,,NAR000105_HI,synthetic_reviewed,,unannotated,validation
NAR000106_HI,SCN000106,hi-en,Mixed,Hinglish,"On 2026-07-02, around 06:38, mentioned जगह पर कानूनी issue हुआ।","On 2026-07-02, around 06:38, mentioned जगह पर कानूनी issue हुआ।",code_mixed,medium,chronological,moderate,none,False,False,False,2023-08-20,,NAR000106_HI,synthetic_reviewed,,unannotated,test
NAR000107_HI,SCN000107,hi-en,Mixed,Hinglish,"On 2026-07-11, around 10:11, mentioned जगह पर कानूनी issue हुआ।","On 2026-07-11, around 10:11, mentioned जगह पर कानूनी issue हुआ।",code_mixed,medium,chronological,moderate,none,False,False,False,2023-08-27,,NAR000107_HI,synthetic_reviewed,,unannotated,challenge
NAR000108_HI,SCN000108,hi-en,Mixed,Hinglish,"On 2026-07-10, around 23:22, mentioned जगह पर कानूनी issue हुआ।","On 2026-07-10, around 23:22, mentioned जगह पर कानूनी issue हुआ।",code_mixed,medium,chronological,moderate,none,False,False,False,2023-08-21,,NAR000108_HI,synthetic_reviewed,,unannotated,challenge
NAR000109_HI,SCN000109,hi-en,Mixed,Hinglish,"On 2026-07-20, around 08:38, mentioned जगह पर कानूनी issue हुआ।","On 2026-07-20, around 08:38, mentioned जगह पर कानूनी issue हुआ।",code_mixed,medium,chronological,moderate,none,False,False,False,2023-08-21,,NAR000109_HI,synthetic_reviewed,,unannotated,challenge
NAR000110_HI,SCN000110,hi-en,Mixed,Hinglish,"On 2026-06-29, around 06:57, mentioned जगह पर कानूनी issue हुआ।","On 2026-06-29, around 06:57, mentioned जगह पर कानूनी issue हुआ।",code_mixed,medium,chronological,moderate,none,False,False,False,2023-08-22,,NAR000110_HI,synthetic_reviewed,,unannotated,train
