classification_id,narrative_id,primary_category,secondary_categories,procedural_intents,user_goal,urgency_class,current_danger,ongoing_incident,medical_emergency,incident_medium,current_or_past,property_involved,threat_involved,injury_involved,weapon_mentioned,minor_involved,police_already_contacted,legal_aid_requested,recommended_route,annotator_1_label,annotator_2_label,adjudicated_label,reviewer_id
CLS000001,NAR000001_EN,Consumer Disputes,False advertising and misrepresentation;Refund refusal,complaint_preparation,Seek a refund and prepare a consumer complaint,PROCEDURAL_ASSISTANCE,False,False,False,physical,recent,True,False,False,False,unknown,True,False,incident_preparation,Consumer Disputes,Consumer Disputes,Consumer Disputes,REV849
CLS000002,NAR000002_EN,Miscellaneous,Noise pollution grievance;Civic nuisance,complaint_preparation,Submit a municipal noise grievance,CASE_PREPARATION,False,True,False,physical,recent,False,False,False,False,unknown,True,False,incident_preparation,Miscellaneous,Miscellaneous,Miscellaneous,REV549
CLS000003,NAR000003_EN,Traffic & Road Incidents,Drunk driving accident;Vehicle damage;Traffic obstruction,complaint_preparation,Report the collision and road obstruction,PAST_INCIDENT,False,False,False,physical,recent,True,False,True,False,unknown,True,False,incident_preparation,Traffic & Road Incidents,Traffic & Road Incidents,Traffic & Road Incidents,REV328
CLS000004,NAR000004_EN,Consumer Disputes,False advertising and misrepresentation;Refund refusal,complaint_preparation;legal_aid_request,Obtain a refund and challenge deceptive sales practices,PROCEDURAL_ASSISTANCE,False,False,False,physical,past,True,False,False,False,unknown,False,True,incident_preparation,Consumer Disputes,Consumer Disputes,Consumer Disputes,REV705
CLS000005,NAR000005_EN,Cybercrime,Social media hacking;Credential compromise,complaint_preparation;legal_aid_request,Report the hacked account and secure legal help,CASE_PREPARATION,False,False,False,online,past,True,False,False,False,unknown,True,True,incident_preparation,Cybercrime,Cybercrime,Cybercrime,REV537
CLS000006,NAR000006_EN,Employment/Labour,Safe working conditions violation;Workplace dispute,complaint_preparation,Document an unsafe-workplace complaint,CASE_PREPARATION,False,True,False,physical,recent,False,False,True,False,unknown,False,False,incident_preparation,Employment/Labour,Employment/Labour,Employment/Labour,REV242
CLS000007,NAR000007_EN,Assault & Threats,Domestic dispute;Threat of physical harm,emergency_assistance;legal_aid_request,Get immediate safety assistance and protection,EMERGENCY_CURRENT_DANGER,True,True,False,physical,current,True,True,False,False,unknown,False,True,emergency_redirect,Assault & Threats,Assault & Threats,Assault & Threats,REV842
CLS000008,NAR000008_EN,Property Disputes,Tenant-landlord conflict;Unauthorized alteration;Trespass,complaint_preparation;legal_aid_request,Prepare a property complaint and seek legal intervention,CASE_PREPARATION,False,False,False,physical,recent,True,True,False,False,unknown,True,True,incident_preparation,Property Disputes,Property Disputes,Property Disputes,REV220
CLS000009,NAR000009_EN,Consumer Disputes,Overcharging and hidden fees;Refund refusal,complaint_preparation;legal_aid_request,File a consumer complaint about hidden charges,CASE_PREPARATION,False,False,False,physical,past,True,False,False,False,unknown,False,True,incident_preparation,Consumer Disputes,Consumer Disputes,Consumer Disputes,REV887
CLS000010,NAR000010_EN,Financial Fraud,Credit card cloning;Unauthorized transfers,complaint_preparation;legal_aid_request,Report cloned-card transactions and preserve audit evidence,CASE_PREPARATION,False,False,False,physical,recent,True,False,False,False,unknown,True,True,incident_preparation,Financial Fraud,Financial Fraud,Financial Fraud,REV622
CLS000011,NAR000011_EN,Assault & Threats,Online harassment & threats;Intimidation,complaint_preparation,Document online threats and seek protection,ONGOING_THREAT,False,True,False,online,recent,False,True,False,False,unknown,False,False,incident_preparation,Assault & Threats,Assault & Threats,Assault & Threats,REV751
CLS000012,NAR000012_EN,Consumer Disputes,Expired or contaminated goods sale;Merchant refusal,complaint_preparation;legal_aid_request,Prepare a complaint about unsafe goods,CASE_PREPARATION,False,False,False,physical,recent,True,False,False,False,unknown,True,True,incident_preparation,Consumer Disputes,Consumer Disputes,Consumer Disputes,REV805
CLS000013,NAR000013_EN,Consumer Disputes,Overcharging and hidden fees;Unfair trade practice,complaint_preparation,Document overcharging for a consumer complaint,CASE_PREPARATION,False,False,False,physical,past,True,False,False,False,unknown,True,False,incident_preparation,Consumer Disputes,Consumer Disputes,Consumer Disputes,REV882
CLS000014,NAR000014_EN,Traffic & Road Incidents,Reckless driving confrontation;Collision;Vehicle damage,complaint_preparation,Prepare a report of reckless driving and damage,CASE_PREPARATION,False,False,False,physical,past,True,True,True,False,unknown,True,False,incident_preparation,Traffic & Road Incidents,Traffic & Road Incidents,Traffic & Road Incidents,REV352
CLS000015,NAR000015_EN,Financial Fraud,Insurance claim fraud;Forgery;Financial loss,legal_aid_request,Recover diverted funds and obtain legal assistance,CASE_PREPARATION,False,False,False,online,recent,True,False,False,False,unknown,False,True,incident_preparation,Financial Fraud,Financial Fraud,Financial Fraud,REV881
CLS000016,NAR000016_EN,Domestic Violence,Economic deprivation;Coercive control,legal_aid_request;complaint_preparation,Document continuing domestic economic abuse,ONGOING_THREAT,False,True,False,physical,past,False,True,False,False,unknown,False,True,incident_preparation,Domestic Violence,Domestic Violence,Domestic Violence,REV504
CLS000017,NAR000017_EN,Assault & Threats,Domestic dispute;Physical intimidation,complaint_preparation;legal_aid_request,Report intimidation witnessed during a domestic dispute,CASE_PREPARATION,False,False,False,physical,recent,False,True,False,False,unknown,False,True,incident_preparation,Assault & Threats,Assault & Threats,Assault & Threats,REV126
CLS000018,NAR000018_EN,Cybercrime,Ransomware attack;Account takeover;Unauthorized transfers,complaint_preparation;legal_aid_request,Report the ransomware incident and financial loss,CASE_PREPARATION,False,False,False,online,past,True,True,False,False,unknown,True,True,incident_preparation,Cybercrime,Cybercrime,Cybercrime,REV685
CLS000019,NAR000019_EN,Domestic Violence,Dowry harassment;Domestic intimidation,emergency_assistance;legal_aid_request,Obtain immediate protection from ongoing dowry harassment,EMERGENCY_CURRENT_DANGER,True,True,False,physical,current,False,True,False,False,unknown,True,True,emergency_redirect,Domestic Violence,Domestic Violence,Domestic Violence,REV672
CLS000020,NAR000020_EN,Consumer Disputes,Expired or contaminated goods sale;Active merchant dispute,complaint_preparation;legal_aid_request,Resolve an unsafe-goods consumer dispute,CASE_PREPARATION,False,False,False,physical,past,True,False,False,False,unknown,True,True,incident_preparation,Consumer Disputes,Consumer Disputes,Consumer Disputes,REV766
CLS000021,NAR000021_EN,Assault & Threats,Domestic dispute;Physical intimidation,complaint_preparation;legal_aid_request,Document and report a domestic intimidation incident,CASE_PREPARATION,False,False,False,physical,recent,True,True,False,False,unknown,True,True,incident_preparation,Assault & Threats,Assault & Threats,Assault & Threats,REV641
CLS000022,NAR000022_EN,Traffic & Road Incidents,Reckless driving confrontation;Collision;Vehicle damage,complaint_preparation,Document the roadway collision for investigation,CASE_PREPARATION,False,False,False,physical,recent,False,True,True,False,unknown,False,False,incident_preparation,Traffic & Road Incidents,Traffic & Road Incidents,Traffic & Road Incidents,REV518
CLS000023,NAR000023_EN,Theft and robbery,Vehicle theft;Property loss,complaint_preparation;fir_information;legal_aid_request,Prepare a vehicle-theft report and case record,CASE_PREPARATION,False,False,False,physical,past,True,False,False,False,unknown,True,True,incident_preparation,Theft and robbery,Theft and robbery,Theft and robbery,REV957
CLS000024,NAR000024_EN,Traffic & Road Incidents,Drunk driving accident;Hit and run,complaint_preparation,Report a suspected drunk-driving collision,PAST_INCIDENT,False,False,False,physical,past,True,False,False,False,unknown,True,False,incident_preparation,Traffic & Road Incidents,Traffic & Road Incidents,Traffic & Road Incidents,REV139
CLS000025,NAR000025_EN,Financial Fraud,Insurance claim fraud;Document fraud;Asset misappropriation,complaint_preparation;legal_aid_request,Prepare a financial-fraud complaint using audit records,CASE_PREPARATION,False,False,False,hybrid,recent,True,False,False,False,unknown,True,True,incident_preparation,Financial Fraud,Financial Fraud,Financial Fraud,REV988
CLS000026,NAR000026_EN,Theft and robbery,Online phishing theft;Property loss,emergency_assistance;fir_information;legal_aid_request,Report an urgent phishing-related theft and find police help,CASE_PREPARATION,False,False,False,online,recent,True,False,False,False,unknown,False,True,incident_preparation,Theft and robbery,Theft and robbery,Theft and robbery,REV371
CLS000027,NAR000027_EN,Consumer Disputes,Refusal of service refund;Billing dispute,complaint_preparation;legal_aid_request,Recover a refused service refund,CASE_PREPARATION,False,False,False,online,recent,True,False,False,False,unknown,True,True,incident_preparation,Consumer Disputes,Consumer Disputes,Consumer Disputes,REV246
CLS000028,NAR000028_EN,Cybercrime,Ransomware attack;Account takeover;Unauthorized transfers,legal_aid_request;complaint_preparation,Report ransomware and recover compromised funds,CASE_PREPARATION,False,False,False,online,recent,True,True,False,False,unknown,False,True,incident_preparation,Cybercrime,Cybercrime,Cybercrime,REV323
CLS000029,NAR000029_EN,Theft and robbery,Chain snatching;Property loss,complaint_preparation,Prepare a chain-snatching report,CASE_PREPARATION,False,False,False,physical,recent,True,True,False,False,unknown,False,False,incident_preparation,Theft and robbery,Theft and robbery,Theft and robbery,REV390
CLS000030,NAR000030_EN,Property Disputes,Inheritance property claim;Boundary damage;Encroachment,emergency_assistance;complaint_preparation;legal_aid_request,Stop an active property takeover and document the damage,ONGOING_THREAT,False,True,False,physical,current,True,False,False,False,unknown,True,True,incident_preparation,Property Disputes,Property Disputes,Property Disputes,REV645
CLS000031,NAR000031_EN,Traffic & Road Incidents,Traffic signal violation dispute;Collision,legal_aid_request,Understand options after a traffic-signal collision,LEGAL_INFORMATION,False,False,False,physical,past,False,False,False,False,unknown,False,True,quick_query,Traffic & Road Incidents,Traffic & Road Incidents,Traffic & Road Incidents,REV650
CLS000032,NAR000032_EN,Cybercrime,Online banking fraud;Phishing;Unauthorized transfers,complaint_preparation,Report online banking fraud and lost funds,CASE_PREPARATION,False,False,False,online,past,True,False,False,False,unknown,False,False,incident_preparation,Cybercrime,Cybercrime,Cybercrime,REV663
CLS000033,NAR000033_EN,Consumer Disputes,False advertising and misrepresentation;Refund refusal,legal_aid_request;complaint_preparation,Challenge deceptive advertising and obtain a refund,CASE_PREPARATION,False,False,False,online,past,True,False,False,False,unknown,False,True,incident_preparation,Consumer Disputes,Consumer Disputes,Consumer Disputes,REV103
CLS000034,NAR000034_EN,Employment/Labour,Workplace harassment;Threatened termination,legal_aid_request;complaint_preparation,Document workplace harassment and protect employment rights,ONGOING_THREAT,False,True,False,physical,past,True,True,False,False,unknown,False,True,incident_preparation,Employment/Labour,Employment/Labour,Employment/Labour,REV326
CLS000035,NAR000035_EN,Cybercrime,Phishing scam;Credential compromise,complaint_preparation;legal_aid_request,Report a phishing attack and preserve technical evidence,CASE_PREPARATION,False,False,False,online,past,True,True,False,False,unknown,True,True,incident_preparation,Cybercrime,Cybercrime,Cybercrime,REV688
CLS000036,NAR000036_EN,Property Disputes,Illegal property possession;Boundary dispute,legal_aid_request;complaint_preparation,Seek intervention in an illegal-possession dispute,CASE_PREPARATION,False,False,False,physical,recent,True,False,False,False,unknown,False,True,incident_preparation,Property Disputes,Property Disputes,Property Disputes,REV800
CLS000037,NAR000037_EN,Cybercrime,Cyberstalking;Online harassment,complaint_preparation,Report continuing cyberstalking and secure protection,ONGOING_THREAT,False,True,False,hybrid,recent,False,True,False,False,unknown,True,False,incident_preparation,Cybercrime,Cybercrime,Cybercrime,REV560
CLS000038,NAR000038_EN,Theft and robbery,Pickpocketing;Property loss,complaint_preparation;fir_information;legal_aid_request,Prepare a pickpocketing case record,CASE_PREPARATION,False,False,False,physical,past,True,False,False,False,unknown,True,True,incident_preparation,Theft and robbery,Theft and robbery,Theft and robbery,REV888
CLS000039,NAR000039_EN,Property Disputes,Boundary wall dispute;Unauthorized alteration,complaint_preparation;legal_aid_request,Prepare a complaint about boundary interference,CASE_PREPARATION,False,False,False,physical,recent,True,True,False,False,unknown,False,True,incident_preparation,Property Disputes,Property Disputes,Property Disputes,REV368
CLS000040,NAR000040_EN,Employment/Labour,Unfair termination;Statutory non-compliance,complaint_preparation;legal_aid_request,Challenge an unfair termination,CASE_PREPARATION,False,True,False,online,recent,False,False,False,False,unknown,False,True,incident_preparation,Employment/Labour,Employment/Labour,Employment/Labour,REV613
CLS000041,NAR000041_EN,Financial Fraud,Ponzi scheme investment fraud;Unauthorized charges,complaint_preparation,Warn affected investors and document the fraud,CASE_PREPARATION,False,False,False,hybrid,past,True,False,False,False,unknown,False,False,incident_preparation,Financial Fraud,Financial Fraud,Financial Fraud,REV709
