scenario_id,scenario_title,primary_incident_family,secondary_issue_labels,scenario_facts,reference_date,incident_date,incident_time,incident_setting,location_type,jurisdiction_country,jurisdiction_state,ongoing_or_past,current_danger_status,injury_present,threat_present,property_involved,police_contacted,legal_help_requested,expected_participant_count,expected_event_count,source_type,created_by,reviewed_by,privacy_status,split
SCN000001,They literally ripped me off with false advertising and misrepresentation,Consumer Disputes,False advertising and misrepresentation,"So I went to this shop around 20:41 and explicitly paid for premium service, but I faced absolute false advertising and misrepresentation instead. When I asked the manager to fix it or give my money back, they were super rude and completely brushed me off. Never buying from here again.",2023-01-30,2023-01-01,20:41,Physical,Shop,India,Uttar Pradesh,recent_past,No,False,True,True,True,False,3,1,human_written,USR993,REV849,synthetic_no_pii,validation
SCN000002,Formal Grievance: Urgent Resolution Required for Noise pollution grievance,Miscellaneous,Noise pollution grievance,"Dear Municipal Authorities, I am writing to formally log a civic grievance regarding the ongoing pattern of noise pollution grievance at the Residential street. The latest escalation occurred on 2026-07-17 at 23:20 hours, causing localized hazards that require immediate civic attention.",2023-01-11,2023-01-01,23:20,Physical,Residential street,India,Maharashtra,recent_past,No,False,False,True,True,False,3,2,expert_authored,USR559,REV549,synthetic_no_pii,challenge
SCN000003,Roadways disruption via drunk driving accident,Traffic & Road Incidents,Drunk driving accident,A vehicular incident involving drunk driving accident occurred on the local highway at 06:27. The collision or blockage led to structural vehicular property damage and caused a severe traffic bottleneck requiring immediate clearing.,2023-01-23,2023-01-07,06:27,Physical,Highway,India,Maharashtra,recent_past,No,True,False,True,True,False,2,3,synthetic_reviewed,USR402,REV328,synthetic_no_pii,challenge
SCN000004,avoid this place fraud false advertising and misrepresentation,Consumer Disputes,False advertising and misrepresentation,guys heads up do NOT buy anything from that Showroom!! just experienced a massive false advertising and misrepresentation around 07:45 today. they completely cheated me on the transaction and refused a refund. super sketchy service watch out,2023-01-23,2023-01-11,07:45,Physical,Showroom,India,Karnataka,past,No,False,False,True,False,True,3,3,expert_authored,USR369,REV705,synthetic_no_pii,train
SCN000005,Digital breach via social media hacking,Cybercrime,Social media hacking,"An incident of social media hacking compromised security systems across the specified Online platform at 17:10. Electronic credentials were manipulated remotely by unknown malicious actors, triggering secondary security protocols.",2023-02-10,2023-01-12,17:10,Online,Online platform,India,Tamil Nadu,past,No,False,False,True,True,True,3,2,human_written,USR975,REV537,synthetic_no_pii,test
SCN000006,Coworker testimony on safe working conditions violation,Employment/Labour,Safe working conditions violation,"The observer witnessed an intense disagreement between the management and an employee inside the workplace around 21:28. The context of the dispute was clearly a severe case of safe working conditions violation, with the supervisor dismissing the employee's legitimate safety or financial claims arbitrarily.",2023-02-09,2023-01-16,21:28,Physical,Workplace,India,Gujarat,recent_past,No,True,False,False,False,False,5,1,expert_authored,USR822,REV242,synthetic_no_pii,train
SCN000007,need help asap threat at Apartment,Assault & Threats,Domestic dispute,pls help someone is targeting me with domestic dispute right now at the Apartment!! they are threatening to hit me or worse. happened around 21:31. is anyone nearby who can come stay with me? urgent,2023-02-06,2023-01-18,21:31,Physical,Apartment,India,Karnataka,past,No,False,True,True,False,True,2,2,human_written,USR850,REV842,synthetic_no_pii,validation
SCN000008,Reported property conflict involving tenant-landlord conflict,Property Disputes,Tenant-landlord conflict,"Complainant reports a structural civil grievance regarding tenant-landlord conflict at the site located in shop. On 2026-06-22 at 09:08 hours, opposing parties gathered and attempted unauthorized physical alterations. Property ownership documents have been submitted for verification.",2023-02-11,2023-01-19,09:08,Physical,Shop,India,Gujarat,recent_past,No,False,True,True,True,True,2,3,synthetic_reviewed,USR679,REV220,synthetic_no_pii,test
SCN000009,Formal Grievance: Unfair Trade Practice & Overcharging and hidden fees,Consumer Disputes,Overcharging and hidden fees,"Dear Consumer Forum Support, I am writing to formally register a merchant complaint regarding a severe instance of overcharging and hidden fees that occurred at Restaurant on 2026-07-05 at 04:50 hours. Despite multiple amicable requests, the management refused to honor the standard consumer guarantees.",2023-02-16,2023-01-21,04:50,Physical,Restaurant,India,Karnataka,past,No,False,False,True,False,True,2,4,synthetic_reviewed,USR968,REV887,synthetic_no_pii,test
SCN000010,Accountant observation of credit card cloning,Financial Fraud,Credit card cloning,"The internal auditor observed highly irregular transaction entries passing through the shop around 09:18. Closer inspection confirmed a premeditated instance of credit card cloning, with the perpetrator executing unauthorized balance transfers using fraudulent credentials before logging out.",2023-01-24,2023-01-22,09:18,Physical,Shop,India,Tamil Nadu,recent_past,No,False,False,True,True,True,2,4,human_written,USR518,REV622,synthetic_no_pii,train
