evaluation_id,case_id,evaluator_id,evaluator_role,classification_correctness,entity_extraction_correctness,event_extraction_correctness,timeline_correctness,missing_question_relevance,question_clarity,question_sensitivity,summary_completeness,summary_factuality,hallucination_present,legal_source_relevance,citation_correctness,overall_clarity,professional_usefulness,user_usefulness,comments,evaluation_date
HEVAL000001,GOUT000001_EN,EVAL_NLP_001,NLP,4,4,4,5,4,4,4,4,5,False,4,4,4,4,4,"NLP review 1: Consumer Disputes label for false advertising and misrepresentation is consistent; 1 linked entity mentions, 2 event rows, and 6 follow-up prompts support the generated output. Remaining gap noted: partially_provided: product_or_service | optional: evidence_available.",2026-07-20
HEVAL000002,GOUT000001_EN,EVAL_ORDINARY_USER_001,ordinary user,4,4,4,4,5,5,4,4,5,False,3,3,4,3,5,User review 2: Summary is understandable for the false advertising and misrepresentation matter and the checklist gives practical next steps. The remaining questions are clear enough to answer without legal vocabulary.,2026-07-20
HEVAL000003,GOUT000001_EN,EVAL_LEGAL_REVIEWER_001,legal reviewer,4,4,4,5,5,4,4,4,5,False,4,4,4,5,4,"Legal review 3: Draft keeps allegations conditional, does not claim guilt or FIR filing, and cites LP_CONSUMER_COMPLAINT_001;LP_REFUND_RIGHTS_001;LP_ECOMMERCE_001. Further lawyer review should verify source text before deployment.",2026-07-20
HEVAL000004,GOUT000002_EN,EVAL_NLP_002,NLP,4,4,4,5,4,4,4,4,5,False,4,4,4,4,4,"NLP review 4: Miscellaneous label for noise pollution grievance is consistent; 1 linked entity mentions, 2 event rows, and 9 follow-up prompts support the generated output. Remaining gap noted: partially_provided: risk_to_public | optional: item_or_property_affected, authority_to_contact.",2026-07-20
HEVAL000005,GOUT000002_EN,EVAL_ORDINARY_USER_002,ordinary user,4,4,4,4,5,5,4,4,5,False,3,3,4,3,5,User review 5: Summary is understandable for the noise pollution grievance matter and the checklist gives practical next steps. The remaining questions are clear enough to answer without legal vocabulary.,2026-07-20
HEVAL000006,GOUT000002_EN,EVAL_LEGAL_REVIEWER_002,legal reviewer,4,4,4,5,5,4,4,4,5,False,4,4,4,5,4,"Legal review 6: Draft keeps allegations conditional, does not claim guilt or FIR filing, and cites LP_CRIME_REPORTING_001;LP_EMERGENCY_HELP_001;LP_LEGAL_AID_001. Further lawyer review should verify source text before deployment.",2026-07-20
HEVAL000007,GOUT000003_EN,EVAL_NLP_003,NLP,4,4,4,5,4,4,4,4,5,False,4,4,4,4,4,"NLP review 7: Traffic & Road Incidents label for drunk driving accident is consistent; 1 linked entity mentions, 2 event rows, and 6 follow-up prompts support the generated output. Remaining gap noted: partially_provided: vehicle_details | optional: offending_vehicle_left.",2026-07-20
HEVAL000008,GOUT000003_EN,EVAL_ORDINARY_USER_003,ordinary user,4,4,4,4,5,5,4,4,5,False,3,3,4,3,5,User review 8: Summary is understandable for the drunk driving accident matter and the checklist gives practical next steps. The remaining questions are clear enough to answer without legal vocabulary.,2026-07-20
HEVAL000009,GOUT000003_EN,EVAL_LEGAL_REVIEWER_003,legal reviewer,4,4,4,5,5,4,4,4,5,False,4,4,4,5,4,"Legal review 9: Draft keeps allegations conditional, does not claim guilt or FIR filing, and cites LP_TRAFFIC_ACCIDENT_001;LP_HIT_AND_RUN_001;LP_MOTOR_CLAIM_001. Further lawyer review should verify source text before deployment.",2026-07-20
HEVAL000010,GOUT000005_EN,EVAL_NLP_004,NLP,4,4,4,5,4,4,4,4,5,False,4,4,4,4,4,"NLP review 10: Cybercrime label for social media hacking is consistent; 1 linked entity mentions, 2 event rows, and 9 follow-up prompts support the generated output. Remaining gap noted: optional: digital_evidence, security_steps_taken | partially_provided: ongoing_access_risk.",2026-07-20
HEVAL000011,GOUT000005_EN,EVAL_ORDINARY_USER_004,ordinary user,4,4,4,4,5,5,4,4,5,False,3,3,4,3,5,User review 11: Summary is understandable for the social media hacking matter and the checklist gives practical next steps. The remaining questions are clear enough to answer without legal vocabulary.,2026-07-20
HEVAL000012,GOUT000005_EN,EVAL_LEGAL_REVIEWER_004,legal reviewer,4,4,4,5,5,4,4,4,5,False,4,4,4,5,4,"Legal review 12: Draft keeps allegations conditional, does not claim guilt or FIR filing, and cites LP_CYBER_REPORTING_001;LP_ACCOUNT_SECURITY_001;LP_DIGITAL_EVIDENCE_001;LP_FINANCIAL_CYBER_FRAUD_001. Further lawyer review should verify source text before deployment.",2026-07-20
HEVAL000013,GOUT000007_EN,EVAL_NLP_005,NLP,4,4,4,5,4,4,4,4,5,False,4,4,4,4,4,"NLP review 13: Assault & Threats label for domestic dispute is consistent; 1 linked entity mentions, 2 event rows, and 12 follow-up prompts support the generated output. Remaining gap noted: missing: threat_or_attack_description, injury_details | optional: safe_place_available, medical_help_status.",2026-07-20
HEVAL000014,GOUT000007_EN,EVAL_ORDINARY_USER_005,ordinary user,4,4,4,4,5,5,4,4,5,False,3,3,4,3,5,User review 14: Summary is understandable for the domestic dispute matter and the checklist gives practical next steps. The remaining questions are clear enough to answer without legal vocabulary.,2026-07-20
HEVAL000015,GOUT000007_EN,EVAL_LEGAL_REVIEWER_005,legal reviewer,4,4,4,5,5,4,4,4,5,False,4,4,4,5,4,"Legal review 15: Draft keeps allegations conditional, does not claim guilt or FIR filing, and cites LP_CRIME_REPORTING_001;LP_EMERGENCY_HELP_001;LP_FIR_PROCESS_001. Further lawyer review should verify source text before deployment.",2026-07-20
HEVAL000016,GOUT000008_EN,EVAL_NLP_006,NLP,4,4,4,5,4,4,4,4,5,False,4,4,4,4,4,"NLP review 16: Property Disputes label for tenant-landlord conflict is consistent; 1 linked entity mentions, 2 event rows, and 9 follow-up prompts support the generated output. Remaining gap noted: partially_provided: property_type, ownership_documents, current_possession.",2026-07-20
HEVAL000017,GOUT000008_EN,EVAL_ORDINARY_USER_006,ordinary user,4,4,4,4,5,5,4,4,5,False,3,3,4,3,5,User review 17: Summary is understandable for the tenant-landlord conflict matter and the checklist gives practical next steps. The remaining questions are clear enough to answer without legal vocabulary.,2026-07-20
HEVAL000018,GOUT000008_EN,EVAL_LEGAL_REVIEWER_006,legal reviewer,4,4,4,5,5,4,4,4,5,False,4,4,4,5,4,"Legal review 18: Draft keeps allegations conditional, does not claim guilt or FIR filing, and cites LP_PROPERTY_DISPUTE_001;LP_CRIME_REPORTING_001;LP_DIGITAL_EVIDENCE_001. Further lawyer review should verify source text before deployment.",2026-07-20
HEVAL000019,GOUT000009_EN,EVAL_NLP_007,NLP,4,4,4,5,4,4,4,4,5,False,4,4,4,4,4,"NLP review 19: Consumer Disputes label for overcharging and hidden fees is consistent; 1 linked entity mentions, 2 event rows, and 9 follow-up prompts support the generated output. Remaining gap noted: partially_provided: product_or_service | missing: payment_information | optional: evidence_available.",2026-07-20
HEVAL000020,GOUT000009_EN,EVAL_ORDINARY_USER_007,ordinary user,4,4,4,4,5,5,4,4,5,False,3,3,4,3,5,User review 20: Summary is understandable for the overcharging and hidden fees matter and the checklist gives practical next steps. The remaining questions are clear enough to answer without legal vocabulary.,2026-07-20
HEVAL000021,GOUT000009_EN,EVAL_LEGAL_REVIEWER_007,legal reviewer,4,4,4,5,5,4,4,4,5,False,4,4,4,5,4,"Legal review 21: Draft keeps allegations conditional, does not claim guilt or FIR filing, and cites LP_CONSUMER_COMPLAINT_001;LP_REFUND_RIGHTS_001;LP_ECOMMERCE_001. Further lawyer review should verify source text before deployment.",2026-07-20
HEVAL000022,GOUT000011_EN,EVAL_NLP_008,NLP,4,4,4,5,4,4,4,4,5,False,4,4,4,4,4,"NLP review 22: Assault & Threats label for online harassment & threats is consistent; 1 linked entity mentions, 2 event rows, and 12 follow-up prompts support the generated output. Remaining gap noted: missing: threat_or_attack_description, injury_details | optional: safe_place_available, medical_help_status.",2026-07-20
