question_id,question_group_id,narrative_id,target_slot,language,question_text,template_id,question_type,priority,reason,sensitivity,skippable,prerequisite_slot,expected_answer_type,allowed_answer_values,followup_condition,gold_rank,already_asked,human_relevance_score,language_reviewer_id,legal_reviewer_id
Q000001_en,QG000001,NAR000001_EN,product_or_service,en,"For the false advertising and misrepresentation at Shop around 20:41, what exact product or service is disputed?",TPL_PRODUCT_OR_SERVICE,open_text,1,Defines subject of consumer dispute.,normal,False,NONE,text,NONE,if_product_ask_purchase_proof,1,False,5,LANG_REV_EN_001,REV849
Q000002_hi,QG000001,NAR000001_EN,product_or_service,hi,"False advertising and misrepresentation Shop par 20:41 ke aas-paas ke sandarbh mein, Kaunsa exact product ya service dispute mein hai?",TPL_PRODUCT_OR_SERVICE,open_text,1,Defines subject of consumer dispute.,normal,False,NONE,text,NONE,if_product_ask_purchase_proof,1,False,5,LANG_REV_HI_001,REV849
Q000003_hiLatn,QG000001,NAR000001_EN,product_or_service,hi-Latn,"False advertising and misrepresentation Shop par 20:41 ke aas-paas ke context mein, Kaunsa exact product ya service disputed hai?",TPL_PRODUCT_OR_SERVICE,open_text,1,Defines subject of consumer dispute.,normal,False,NONE,text,NONE,if_product_ask_purchase_proof,1,False,5,LANG_REV_HI_001,REV849
Q000004_en,QG000002,NAR000001_EN,evidence_available,en,"For the false advertising and misrepresentation at Shop around 20:41, what evidence do you have for this incident?",TPL_EVIDENCE_AVAILABLE,open_text,3,Improves complaint strength.,sensitive,True,NONE,text,NONE,if_available_ask_evidence_type,3,False,4,LANG_REV_EN_001,REV849
Q000005_hi,QG000002,NAR000001_EN,evidence_available,hi,"False advertising and misrepresentation Shop par 20:41 ke aas-paas ke sandarbh mein, Is ghatna ke liye aapke paas kya saboot hai?",TPL_EVIDENCE_AVAILABLE,open_text,3,Improves complaint strength.,sensitive,True,NONE,text,NONE,if_available_ask_evidence_type,3,False,4,LANG_REV_HI_001,REV849
Q000006_hiLatn,QG000002,NAR000001_EN,evidence_available,hi-Latn,"False advertising and misrepresentation Shop par 20:41 ke aas-paas ke context mein, Is incident ke liye aapke paas kya evidence hai?",TPL_EVIDENCE_AVAILABLE,open_text,3,Improves complaint strength.,sensitive,True,NONE,text,NONE,if_available_ask_evidence_type,3,False,4,LANG_REV_HI_001,REV849
Q000007_en,QG000003,NAR000002_EN,risk_to_public,en,"For the noise pollution grievance at Residential street around 23:20, what public risk, nuisance, or hazard is happening?",TPL_RISK_TO_PUBLIC,open_text,2,Determines urgency.,normal,False,NONE,text,NONE,if_immediate_hazard_contact_authority,2,False,5,LANG_REV_EN_001,REV549
Q000008_hi,QG000003,NAR000002_EN,risk_to_public,hi,"Noise pollution grievance Residential street par 23:20 ke aas-paas ke sandarbh mein, Kaunsa public risk, nuisance ya hazard ho raha hai?",TPL_RISK_TO_PUBLIC,open_text,2,Determines urgency.,normal,False,NONE,text,NONE,if_immediate_hazard_contact_authority,2,False,5,LANG_REV_HI_001,REV549
Q000009_hiLatn,QG000003,NAR000002_EN,risk_to_public,hi-Latn,"Noise pollution grievance Residential street par 23:20 ke aas-paas ke context mein, Kaunsa public risk, nuisance ya hazard ho raha hai?",TPL_RISK_TO_PUBLIC,open_text,2,Determines urgency.,normal,False,NONE,text,NONE,if_immediate_hazard_contact_authority,2,False,5,LANG_REV_HI_001,REV549
Q000010_en,QG000004,NAR000002_EN,item_or_property_affected,en,"For the noise pollution grievance at Residential street around 23:20, what item or property is affected?",TPL_ITEM_OR_PROPERTY_AFFECTED,open_text,3,Clarifies complaint substance.,normal,True,NONE,text,NONE,NONE,3,False,4,LANG_REV_EN_001,REV549
Q000011_hi,QG000004,NAR000002_EN,item_or_property_affected,hi,"Noise pollution grievance Residential street par 23:20 ke aas-paas ke sandarbh mein, Kaunsi item ya property prabhavit hai?",TPL_ITEM_OR_PROPERTY_AFFECTED,open_text,3,Clarifies complaint substance.,normal,True,NONE,text,NONE,NONE,3,False,4,LANG_REV_HI_001,REV549
Q000012_hiLatn,QG000004,NAR000002_EN,item_or_property_affected,hi-Latn,"Noise pollution grievance Residential street par 23:20 ke aas-paas ke context mein, Kaunsi item ya property affected hai?",TPL_ITEM_OR_PROPERTY_AFFECTED,open_text,3,Clarifies complaint substance.,normal,True,NONE,text,NONE,NONE,3,False,4,LANG_REV_HI_001,REV549
Q000013_en,QG000005,NAR000002_EN,authority_to_contact,en,"For the noise pollution grievance at Residential street around 23:20, which authority have you contacted or plan to contact?",TPL_AUTHORITY_TO_CONTACT,choice,3,Guides filing route.,normal,True,NONE,category,police;municipality;traffic_authority;cyber_cell;consumer_forum;labour_office;unsure,NONE,3,False,4,LANG_REV_EN_001,REV549
Q000014_hi,QG000005,NAR000002_EN,authority_to_contact,hi,"Noise pollution grievance Residential street par 23:20 ke aas-paas ke sandarbh mein, Aapne kis authority se sampark kiya hai ya karna chahte hain?",TPL_AUTHORITY_TO_CONTACT,choice,3,Guides filing route.,normal,True,NONE,category,police;municipality;traffic_authority;cyber_cell;consumer_forum;labour_office;unsure,NONE,3,False,4,LANG_REV_HI_001,REV549
Q000015_hiLatn,QG000005,NAR000002_EN,authority_to_contact,hi-Latn,"Noise pollution grievance Residential street par 23:20 ke aas-paas ke context mein, Aapne kaunsi authority contact ki hai ya karni hai?",TPL_AUTHORITY_TO_CONTACT,choice,3,Guides filing route.,normal,True,NONE,category,police;municipality;traffic_authority;cyber_cell;consumer_forum;labour_office;unsure,NONE,3,False,4,LANG_REV_HI_001,REV549
Q000016_en,QG000006,NAR000003_EN,vehicle_details,en,"For the drunk driving accident at Highway around 06:27, what vehicle details or number do you know?",TPL_VEHICLE_DETAILS,open_text,1,Needed for motor accident or traffic complaint.,sensitive,False,NONE,text,NONE,if_registration_known_collect_number,1,False,5,LANG_REV_EN_001,REV328
