slot_annotation_id,narrative_id,incident_schema,slot_name,slot_description,slot_status,extracted_value,normalised_value,linked_entity_ids,linked_event_ids,mandatory_for_schema,priority,sensitivity,reason_required,question_required,contradiction_id,annotator_id,reviewer_id
SLOT000001,NAR000001_EN,consumer_disputes,incident_date,Date or relative date when the incident happened,provided,2023-01-01,2023-01-01,NONE,EVT000001_001;EVT000001_002,True,1,normal,Establishes limitation periods and timeline.,False,NONE,SLOT_ANN_001,REV849
SLOT000002,NAR000001_EN,consumer_disputes,incident_time,Time or approximate time of the incident,provided,20:41,20:41,NONE,EVT000001_001;EVT000001_002,True,2,normal,Helps sequence events and corroborate evidence.,False,NONE,SLOT_ANN_001,REV849
SLOT000003,NAR000001_EN,consumer_disputes,incident_location,"Place, platform, or setting where the incident occurred",provided,Shop,shop,NONE,EVT000001_001;EVT000001_002,True,1,normal,Determines jurisdiction and immediate response route.,False,NONE,SLOT_ANN_001,REV849
SLOT000004,NAR000001_EN,consumer_disputes,current_safety_risk,Whether anyone is currently in danger,provided,risk indicated,risk_present,NONE,EVT000001_001;EVT000001_002,True,1,highly sensitive,Controls emergency escalation and safety guidance.,False,NONE,SLOT_ANN_001,REV849
SLOT000005,NAR000001_EN,consumer_disputes,police_reporting_status,Whether police or authorities were contacted,provided,yes,yes,NONE,EVT000001_001;EVT000001_002,False,3,normal,Determines next procedural step and complaint history.,False,NONE,SLOT_ANN_001,REV849
SLOT000006,NAR000001_EN,consumer_disputes,merchant_identity,"Shop, platform, seller, or service provider involved",provided,Shop,shop,NONE,EVT000001_001;EVT000001_002,True,1,normal,Needed for consumer complaint notice.,False,NONE,SLOT_ANN_001,REV849
SLOT000007,NAR000001_EN,consumer_disputes,product_or_service,Product or service purchased or disputed,partially_provided,False advertising and misrepresentation,false advertising and misrepresentation,NONE,EVT000001_001;EVT000001_002,True,1,normal,Defines subject of consumer dispute.,True,NONE,SLOT_ANN_001,REV849
SLOT000008,NAR000001_EN,consumer_disputes,payment_information,"Whether payment, bill, invoice, or charge is described",provided,"So I went to this shop around 20:41 and explicitly paid for premium service, but I faced absolute false advertising and misrepresentation instead","so i went to this shop around 20:41 and explicitly paid for premium service, but i faced absolute false advertising and misrepresentation instead",NONE,EVT000001_001;EVT000001_002,True,2,sensitive,Supports refund and deficiency claim.,False,NONE,SLOT_ANN_001,REV849
SLOT000009,NAR000001_EN,consumer_disputes,refund_or_remedy_requested,"Whether user requested refund, replacement, or fix",provided,"When I asked the manager to fix it or give my money back, they were super rude and completely brushed me off","when i asked the manager to fix it or give my money back, they were super rude and completely brushed me off",NONE,EVT000001_001;EVT000001_002,True,2,normal,Shows prior attempt to resolve dispute.,False,NONE,SLOT_ANN_001,REV849
SLOT000010,NAR000001_EN,consumer_disputes,evidence_available,"Invoice, photo, proof, or other evidence",optional,not stated,not_stated,NONE,EVT000001_001;EVT000001_002,False,3,sensitive,Improves complaint strength.,True,NONE,SLOT_ANN_001,REV849
