output_id,scenario_id,narrative_id,language,clarification_answer_ids,gold_event_ids,gold_timeline_text,citizen_summary,structured_incident_summary,complaint_preparation_draft,lawyer_legal_aid_intake,police_visit_checklist,evidence_index,missing_information_summary,contradictions_summary,procedural_guidance_summary,supporting_passage_ids,unsupported_statement_count,hallucination_present,factuality_score,completeness_score,event_order_preserved,law_review_status,reviewer_id,split
GOUT000001_EN,SCN000001,NAR000001_EN,en,ANS000001;ANS000002;ANS000003;ANS000004;ANS000005;ANS000006,EVT000001_001;EVT000001_002,"1. So I went to this shop around 20:41 and explicitly paid for premium service, but I faced absolute false advertising and misrepresentation instead. 2. When I asked the manager to fix it or give my money back, they were super rude and completely brushed me off.","You reported a consumer disputes matter about false advertising and misrepresentation at Shop on 2023-01-01 around 20:41. The record notes danger status as No, threat mentioned as True, injury mentioned as False, and police contact as True.","incident_family=Consumer Disputes | issue=False advertising and misrepresentation | place=Shop, Uttar Pradesh, India | date_time=2023-01-01 20:41 | events=EVT000001_001;EVT000001_002 | property_involved=True | threat_involved=True | injury_involved=False | open_questions=partially_provided: product_or_service | optional: evidence_available","To the concerned authority, I wish to report that on 2023-01-01 around 20:41, at Shop, I experienced/reported an incident described as False advertising and misrepresentation. My account is: So I went to this shop around 20:41 and explicitly paid for premium service, but I faced absolute false advertising and misrepresentation instead. When I asked the manager to fix it or give my money back, they were super rude and completely brushed me off. Never buying from here again.. I request that the information be recorded, that appropriate lawful guidance or action be considered, and that I be told if any further documents or details are needed. This draft does not assert guilt, authenticate evidence, or state that an FIR has already been filed.","Case intake: Consumer Disputes / False advertising and misrepresentation; location Shop, Uttar Pradesh; incident date/time 2023-01-01 20:41; danger=No; threat=True; injury=False; property=True; police_contacted=True; legal_help_requested=False; event_ids=EVT000001_001;EVT000001_002; key remaining gaps: partially_provided: product_or_service | optional: evidence_available",Carry identity proof if needed; written timeline; location details; screenshots/photos/messages; receipts or documents where applicable; medical records if injury exists; property or account details if relevant; names/contact details of witnesses if safely available; copies of any prior complaint or authority response.,"So I went to this shop around 20:41 and explicitly paid for premium service, but I faced absolute false advertising and misrepresentation instead; I have the payment screenshot and chat with the seller",partially_provided: product_or_service | optional: evidence_available,No contradiction linked in slot annotations or clarification answers.,"No immediate danger is recorded, but reassess safety before taking action. Prepare payment proof, seller communication, product/service details, and consider consumer grievance or platform escalation. Police already contacted: True. Legal help requested: False.",LP_CONSUMER_COMPLAINT_001;LP_REFUND_RIGHTS_001;LP_ECOMMERCE_001,0,False,5,4,True,team-reviewed,REV849,validation
GOUT000002_EN,SCN000002,NAR000002_EN,en,ANS000007;ANS000008;ANS000009;ANS000010;ANS000011;ANS000012;ANS000013;ANS000014;ANS000015,EVT000002_001;EVT000002_002,"1. Dear Municipal Authorities, I am writing to formally log a civic grievance regarding the ongoing pattern of noise pollution grievance at the Residential street. 2. Dear Municipal Authorities, I am writing to formally log a civic grievance regarding the ongoing pattern of noise pollution grievance at the Residential street.","You reported a miscellaneous matter about noise pollution grievance at Residential street on 2023-01-01 around 23:20. The record notes danger status as No, threat mentioned as False, injury mentioned as False, and police contact as True.","incident_family=Miscellaneous | issue=Noise pollution grievance | place=Residential street, Maharashtra, India | date_time=2023-01-01 23:20 | events=EVT000002_001;EVT000002_002 | property_involved=True | threat_involved=False | injury_involved=False | open_questions=partially_provided: risk_to_public | optional: item_or_property_affected, authority_to_contact","To the concerned authority, I wish to report that on 2023-01-01 around 23:20, at Residential street, I experienced/reported an incident described as Noise pollution grievance. My account is: Dear Municipal Authorities, I am writing to formally log a civic grievance regarding the ongoing pattern of noise pollution grievance at the Residential street. The latest escalation occurred on 2026-07-17 at 23:20 hours, causing localized hazards that require immediate civic attention.. I request that the information be recorded, that appropriate lawful guidance or action be considered, and that I be told if any further documents or details are needed. This draft does not assert guilt, authenticate evidence, or state that an FIR has already been filed.","Case intake: Miscellaneous / Noise pollution grievance; location Residential street, Maharashtra; incident date/time 2023-01-01 23:20; danger=No; threat=False; injury=False; property=True; police_contacted=True; legal_help_requested=False; event_ids=EVT000002_001;EVT000002_002; key remaining gaps: partially_provided: risk_to_public | optional: item_or_property_affected, authority_to_contact",Carry identity proof if needed; written timeline; location details; screenshots/photos/messages; receipts or documents where applicable; medical records if injury exists; property or account details if relevant; names/contact details of witnesses if safely available; copies of any prior complaint or authority response.,"No specific evidence item is confirmed; ask user to preserve screenshots, documents, photos, receipts, and messages where available.","partially_provided: risk_to_public | optional: item_or_property_affected, authority_to_contact",No contradiction linked in slot annotations or clarification answers.,"No immediate danger is recorded, but reassess safety before taking action. Collect date, location, evidence, authority contacted, and any safety concerns before escalation. Police already contacted: True. Legal help requested: False.",LP_CRIME_REPORTING_001;LP_EMERGENCY_HELP_001;LP_LEGAL_AID_001,0,False,5,4,True,team-reviewed,REV549,test
GOUT000003_EN,SCN000003,NAR000003_EN,en,ANS000016;ANS000017;ANS000018;ANS000019;ANS000020;ANS000021,EVT000003_001;EVT000003_002,1. A vehicular incident involving drunk driving accident occurred on the local highway at 06:27. 2. The collision or blockage led to structural vehicular property damage and caused a severe traffic bottleneck requiring immediate clearing..,"You reported a traffic & road incidents matter about drunk driving accident at Highway on 2023-01-07 around 06:27. The record notes danger status as No, threat mentioned as False, injury mentioned as True, and police contact as True.","incident_family=Traffic & Road Incidents | issue=Drunk driving accident | place=Highway, Maharashtra, India | date_time=2023-01-07 06:27 | events=EVT000003_001;EVT000003_002 | property_involved=True | threat_involved=False | injury_involved=True | open_questions=partially_provided: vehicle_details | optional: offending_vehicle_left","To the concerned authority, I wish to report that on 2023-01-07 around 06:27, at Highway, I experienced/reported an incident described as Drunk driving accident. My account is: A vehicular incident involving drunk driving accident occurred on the local highway at 06:27. The collision or blockage led to structural vehicular property damage and caused a severe traffic bottleneck requiring immediate clearing.. I request that the information be recorded, that appropriate lawful guidance or action be considered, and that I be told if any further documents or details are needed. This draft does not assert guilt, authenticate evidence, or state that an FIR has already been filed.","Case intake: Traffic & Road Incidents / Drunk driving accident; location Highway, Maharashtra; incident date/time 2023-01-07 06:27; danger=No; threat=False; injury=True; property=True; police_contacted=True; legal_help_requested=False; event_ids=EVT000003_001;EVT000003_002; key remaining gaps: partially_provided: vehicle_details | optional: offending_vehicle_left",Carry identity proof if needed; written timeline; location details; screenshots/photos/messages; receipts or documents where applicable; medical records if injury exists; property or account details if relevant; names/contact details of witnesses if safely available; copies of any prior complaint or authority response.,"No specific evidence item is confirmed; ask user to preserve screenshots, documents, photos, receipts, and messages where available.",partially_provided: vehicle_details | optional: offending_vehicle_left,No contradiction linked in slot annotations or clarification answers.,"No immediate danger is recorded, but reassess safety before taking action. Record vehicle details, photos, injury and damage information, witnesses, and insurance/police documents. Police already contacted: True. Legal help requested: False.",LP_TRAFFIC_ACCIDENT_001;LP_HIT_AND_RUN_001;LP_MOTOR_CLAIM_001,0,False,5,4,True,team-reviewed,REV328,test
GOUT000004_EN,SCN000004,NAR000004_EN,en,ANS000022;ANS000023;ANS000024;ANS000025;ANS000026;ANS000027,EVT000004_001;EVT000004_002,1. just experienced a massive false advertising and misrepresentation around 07:45 today. 2. super sketchy service watch out.,"You reported a consumer disputes matter about false advertising and misrepresentation at Showroom on 2023-01-11 around 07:45. The record notes danger status as No, threat mentioned as False, injury mentioned as False, and police contact as False.","incident_family=Consumer Disputes | issue=False advertising and misrepresentation | place=Showroom, Karnataka, India | date_time=2023-01-11 07:45 | events=EVT000004_001;EVT000004_002 | property_involved=True | threat_involved=False | injury_involved=False | open_questions=partially_provided: product_or_service | optional: evidence_available","To the concerned authority, I wish to report that on 2023-01-11 around 07:45, at Showroom, I experienced/reported an incident described as False advertising and misrepresentation. My account is: guys heads up do NOT buy anything from that Showroom!! just experienced a massive false advertising and misrepresentation around 07:45 today. they completely cheated me on the transaction and refused a refund. super sketchy service watch out. I request that the information be recorded, that appropriate lawful guidance or action be considered, and that I be told if any further documents or details are needed. This draft does not assert guilt, authenticate evidence, or state that an FIR has already been filed.","Case intake: Consumer Disputes / False advertising and misrepresentation; location Showroom, Karnataka; incident date/time 2023-01-11 07:45; danger=No; threat=False; injury=False; property=True; police_contacted=False; legal_help_requested=True; event_ids=EVT000004_001;EVT000004_002; key remaining gaps: partially_provided: product_or_service | optional: evidence_available",Carry identity proof if needed; written timeline; location details; screenshots/photos/messages; receipts or documents where applicable; medical records if injury exists; property or account details if relevant; names/contact details of witnesses if safely available; copies of any prior complaint or authority response.,they completely cheated me on the transaction and refused a refund; I have the payment screenshot and chat with the seller,partially_provided: product_or_service | optional: evidence_available,No contradiction linked in slot annotations or clarification answers.,"No immediate danger is recorded, but reassess safety before taking action. Prepare payment proof, seller communication, product/service details, and consider consumer grievance or platform escalation. Police already contacted: False. Legal help requested: True.",LP_CONSUMER_COMPLAINT_001;LP_REFUND_RIGHTS_001;LP_ECOMMERCE_001,0,False,5,4,True,team-reviewed,REV705,Train
GOUT000005_EN,SCN000005,NAR000005_EN,en,ANS000028;ANS000029;ANS000030;ANS000031;ANS000032;ANS000033;ANS000034;ANS000035;ANS000036,EVT000005_001;EVT000005_002,1. An incident of social media hacking compromised security systems across the specified Online platform at 17:10. 2. An incident of social media hacking compromised security systems across the specified Online platform at 17:10.,"You reported a cybercrime matter about social media hacking at Online platform on 2023-01-12 around 17:10. The record notes danger status as No, threat mentioned as False, injury mentioned as False, and police contact as True.","incident_family=Cybercrime | issue=Social media hacking | place=Online platform, Tamil Nadu, India | date_time=2023-01-12 17:10 | events=EVT000005_001;EVT000005_002 | property_involved=True | threat_involved=False | injury_involved=False | open_questions=optional: digital_evidence, security_steps_taken | partially_provided: ongoing_access_risk","To the concerned authority, I wish to report that on 2023-01-12 around 17:10, at Online platform, I experienced/reported an incident described as Social media hacking. My account is: An incident of social media hacking compromised security systems across the specified Online platform at 17:10. Electronic credentials were manipulated remotely by unknown malicious actors, triggering secondary security protocols.. I request that the information be recorded, that appropriate lawful guidance or action be considered, and that I be told if any further documents or details are needed. This draft does not assert guilt, authenticate evidence, or state that an FIR has already been filed.","Case intake: Cybercrime / Social media hacking; location Online platform, Tamil Nadu; incident date/time 2023-01-12 17:10; danger=No; threat=False; injury=False; property=True; police_contacted=True; legal_help_requested=True; event_ids=EVT000005_001;EVT000005_002; key remaining gaps: optional: digital_evidence, security_steps_taken | partially_provided: ongoing_access_risk",Carry identity proof if needed; written timeline; location details; screenshots/photos/messages; receipts or documents where applicable; medical records if injury exists; property or account details if relevant; names/contact details of witnesses if safely available; copies of any prior complaint or authority response.,"Screenshots, suspicious link, login alert, and transaction message are available","optional: digital_evidence, security_steps_taken | partially_provided: ongoing_access_risk",No contradiction linked in slot annotations or clarification answers.,"No immediate danger is recorded, but reassess safety before taking action. Preserve digital evidence, secure accounts, notify bank/platform if relevant, and use cyber reporting channels. Police already contacted: True. Legal help requested: True.",LP_CYBER_REPORTING_001;LP_ACCOUNT_SECURITY_001;LP_DIGITAL_EVIDENCE_001;LP_FINANCIAL_CYBER_FRAUD_001,0,False,5,4,True,team-reviewed,REV537,test
GOUT000006_EN,SCN000006,NAR000006_EN,en,ANS000037;ANS000038;ANS000039;ANS000040;ANS000041;ANS000042,EVT000006_001;EVT000006_002,"1. The context of the dispute was clearly a severe case of safe working conditions violation, with the supervisor dismissing the employee's legitimate safety or financial claims arbitrarily.. 2. The observer witnessed an intense disagreement between the management and an employee inside the workplace around 21:28.","You reported a employment/labour matter about safe working conditions violation at Workplace on 2023-01-16 around 21:28. The record notes danger status as No, threat mentioned as False, injury mentioned as True, and police contact as False.","incident_family=Employment/Labour | issue=Safe working conditions violation | place=Workplace, Gujarat, India | date_time=2023-01-16 21:28 | events=EVT000006_001;EVT000006_002 | property_involved=False | threat_involved=False | injury_involved=True | open_questions=optional: employment_documents, wage_or_benefit_amount","To the concerned authority, I wish to report that on 2023-01-16 around 21:28, at Workplace, I experienced/reported an incident described as Safe working conditions violation. My account is: The observer witnessed an intense disagreement between the management and an employee inside the workplace around 21:28. The context of the dispute was clearly a severe case of safe working conditions violation, with the supervisor dismissing the employee's legitimate safety or financial claims arbitrarily.. I request that the information be recorded, that appropriate lawful guidance or action be considered, and that I be told if any further documents or details are needed. This draft does not assert guilt, authenticate evidence, or state that an FIR has already been filed.","Case intake: Employment/Labour / Safe working conditions violation; location Workplace, Gujarat; incident date/time 2023-01-16 21:28; danger=No; threat=False; injury=True; property=False; police_contacted=False; legal_help_requested=False; event_ids=EVT000006_001;EVT000006_002; key remaining gaps: optional: employment_documents, wage_or_benefit_amount",Carry identity proof if needed; written timeline; location details; screenshots/photos/messages; receipts or documents where applicable; medical records if injury exists; property or account details if relevant; names/contact details of witnesses if safely available; copies of any prior complaint or authority response.,"I have some emails and employment records, but not every document","optional: employment_documents, wage_or_benefit_amount",No contradiction linked in slot annotations or clarification answers.,"No immediate danger is recorded, but reassess safety before taking action. Collect employment documents, payslips, emails, HR communication, and wage/termination details. Police already contacted: False. Legal help requested: False.",LP_LABOUR_COMPLAINT_001;LP_WAGE_CLAIM_001;LP_LEGAL_AID_001,0,False,5,4,True,team-reviewed,REV242,Train
GOUT000007_EN,SCN000007,NAR000007_EN,en,ANS000043;ANS000044;ANS000045;ANS000046;ANS000047;ANS000048;ANS000049;ANS000050;ANS000051;ANS000052;ANS000053;ANS000054,EVT000007_001;EVT000007_002,1. pls help someone is targeting me with domestic dispute right now at the Apartment!! 2. pls help someone is targeting me with domestic dispute right now at the Apartment!!,"You reported a assault & threats matter about domestic dispute at Apartment on 2023-01-18 around 21:31. The record notes danger status as No, threat mentioned as True, injury mentioned as False, and police contact as False.","incident_family=Assault & Threats | issue=Domestic dispute | place=Apartment, Karnataka, India | date_time=2023-01-18 21:31 | events=EVT000007_001;EVT000007_002 | property_involved=True | threat_involved=True | injury_involved=False | open_questions=missing: threat_or_attack_description, injury_details | optional: safe_place_available, medical_help_status","To the concerned authority, I wish to report that on 2023-01-18 around 21:31, at Apartment, I experienced/reported an incident described as Domestic dispute. My account is: pls help someone is targeting me with domestic dispute right now at the Apartment!! they are threatening to hit me or worse. happened around 21:31. is anyone nearby who can come stay with me? urgent. I request that the information be recorded, that appropriate lawful guidance or action be considered, and that I be told if any further documents or details are needed. This draft does not assert guilt, authenticate evidence, or state that an FIR has already been filed.","Case intake: Assault & Threats / Domestic dispute; location Apartment, Karnataka; incident date/time 2023-01-18 21:31; danger=No; threat=True; injury=False; property=True; police_contacted=False; legal_help_requested=True; event_ids=EVT000007_001;EVT000007_002; key remaining gaps: missing: threat_or_attack_description, injury_details | optional: safe_place_available, medical_help_status",Carry identity proof if needed; written timeline; location details; screenshots/photos/messages; receipts or documents where applicable; medical records if injury exists; property or account details if relevant; names/contact details of witnesses if safely available; copies of any prior complaint or authority response.,"No specific evidence item is confirmed; ask user to preserve screenshots, documents, photos, receipts, and messages where available.","missing: threat_or_attack_description, injury_details | optional: safe_place_available, medical_help_status",No contradiction linked in slot annotations or clarification answers.,"No immediate danger is recorded, but reassess safety before taking action. If threat or injury exists, seek safety and medical support; preserve messages, witness details, and complaint facts. Police already contacted: False. Legal help requested: True.",LP_CRIME_REPORTING_001;LP_EMERGENCY_HELP_001;LP_FIR_PROCESS_001,0,False,5,4,True,team-reviewed,REV842,validation
GOUT000008_EN,SCN000008,NAR000008_EN,en,ANS000055;ANS000056;ANS000057;ANS000058;ANS000059;ANS000060;ANS000061;ANS000062;ANS000063,EVT000008_001;EVT000008_002,1. Complainant reports a structural civil grievance regarding tenant-landlord conflict at the site located in shop. 2. Property ownership documents have been submitted for verification..,"You reported a property disputes matter about tenant-landlord conflict at Shop on 2023-01-19 around 09:08. The record notes danger status as No, threat mentioned as True, injury mentioned as False, and police contact as True.","incident_family=Property Disputes | issue=Tenant-landlord conflict | place=Shop, Gujarat, India | date_time=2023-01-19 09:08 | events=EVT000008_001;EVT000008_002 | property_involved=True | threat_involved=True | injury_involved=False | open_questions=partially_provided: property_type, ownership_documents, current_possession","To the concerned authority, I wish to report that on 2023-01-19 around 09:08, at Shop, I experienced/reported an incident described as Tenant-landlord conflict. My account is: Complainant reports a structural civil grievance regarding tenant-landlord conflict at the site located in shop. On 2026-06-22 at 09:08 hours, opposing parties gathered and attempted unauthorized physical alterations. Property ownership documents have been submitted for verification.. I request that the information be recorded, that appropriate lawful guidance or action be considered, and that I be told if any further documents or details are needed. This draft does not assert guilt, authenticate evidence, or state that an FIR has already been filed.","Case intake: Property Disputes / Tenant-landlord conflict; location Shop, Gujarat; incident date/time 2023-01-19 09:08; danger=No; threat=True; injury=False; property=True; police_contacted=True; legal_help_requested=True; event_ids=EVT000008_001;EVT000008_002; key remaining gaps: partially_provided: property_type, ownership_documents, current_possession",Carry identity proof if needed; written timeline; location details; screenshots/photos/messages; receipts or documents where applicable; medical records if injury exists; property or account details if relevant; names/contact details of witnesses if safely available; copies of any prior complaint or authority response.,"Property ownership documents have been submitted for verification; I can show possession through receipts, photos, or property documents","partially_provided: property_type, ownership_documents, current_possession",No contradiction linked in slot annotations or clarification answers.,"No immediate danger is recorded, but reassess safety before taking action. Collect ownership/possession documents, photos of the site, opposing-party details, and avoid confrontation. Police already contacted: True. Legal help requested: True.",LP_PROPERTY_DISPUTE_001;LP_CRIME_REPORTING_001;LP_DIGITAL_EVIDENCE_001,0,False,5,4,True,team-reviewed,REV220,test
GOUT000009_EN,SCN000009,NAR000009_EN,en,ANS000064;ANS000065;ANS000066;ANS000067;ANS000068;ANS000069;ANS000070;ANS000071;ANS000072,EVT000009_001;EVT000009_002,"1. Dear Consumer Forum Support, I am writing to formally register a merchant complaint regarding a severe instance of overcharging and hidden fees that occurred at Restaurant on 2026-07-05 at 04:50 hours. 2. Dear Consumer Forum Support, I am writing to formally register a merchant complaint regarding a severe instance of overcharging and hidden fees that occurred at Restaurant on 2026-07-05 at 04:50 hours.","You reported a consumer disputes matter about overcharging and hidden fees at Restaurant on 2023-01-21 around 04:50. The record notes danger status as No, threat mentioned as False, injury mentioned as False, and police contact as False.","incident_family=Consumer Disputes | issue=Overcharging and hidden fees | place=Restaurant, Karnataka, India | date_time=2023-01-21 04:50 | events=EVT000009_001;EVT000009_002 | property_involved=True | threat_involved=False | injury_involved=False | open_questions=partially_provided: product_or_service | missing: payment_information | optional: evidence_available","To the concerned authority, I wish to report that on 2023-01-21 around 04:50, at Restaurant, I experienced/reported an incident described as Overcharging and hidden fees. My account is: Dear Consumer Forum Support, I am writing to formally register a merchant complaint regarding a severe instance of overcharging and hidden fees that occurred at Restaurant on 2026-07-05 at 04:50 hours. Despite multiple amicable requests, the management refused to honor the standard consumer guarantees.. I request that the information be recorded, that appropriate lawful guidance or action be considered, and that I be told if any further documents or details are needed. This draft does not assert guilt, authenticate evidence, or state that an FIR has already been filed.","Case intake: Consumer Disputes / Overcharging and hidden fees; location Restaurant, Karnataka; incident date/time 2023-01-21 04:50; danger=No; threat=False; injury=False; property=True; police_contacted=False; legal_help_requested=True; event_ids=EVT000009_001;EVT000009_002; key remaining gaps: partially_provided: product_or_service | missing: payment_information | optional: evidence_available",Carry identity proof if needed; written timeline; location details; screenshots/photos/messages; receipts or documents where applicable; medical records if injury exists; property or account details if relevant; names/contact details of witnesses if safely available; copies of any prior complaint or authority response.,"Payment was made before the dispute, and I can provide the receipt or screenshot; I have the payment screenshot and chat with the seller",partially_provided: product_or_service | missing: payment_information | optional: evidence_available,No contradiction linked in slot annotations or clarification answers.,"No immediate danger is recorded, but reassess safety before taking action. Prepare payment proof, seller communication, product/service details, and consider consumer grievance or platform escalation. Police already contacted: False. Legal help requested: True.",LP_CONSUMER_COMPLAINT_001;LP_REFUND_RIGHTS_001;LP_ECOMMERCE_001,0,False,5,4,True,team-reviewed,REV887,test
GOUT000010_EN,SCN000010,NAR000010_EN,en,ANS000073;ANS000074;ANS000075,EVT000010_001;EVT000010_002,"1. Closer inspection confirmed a premeditated instance of credit card cloning, with the perpetrator executing unauthorized balance transfers using fraudulent credentials before logging out.. 2. The internal auditor observed highly irregular transaction entries passing through the shop around 09:18.","You reported a financial fraud matter about credit card cloning at Shop on 2023-01-22 around 09:18. The record notes danger status as No, threat mentioned as False, injury mentioned as False, and police contact as True.","incident_family=Financial Fraud | issue=Credit card cloning | place=Shop, Tamil Nadu, India | date_time=2023-01-22 09:18 | events=EVT000010_001;EVT000010_002 | property_involved=True | threat_involved=False | injury_involved=False | open_questions=optional: institution_notified","To the concerned authority, I wish to report that on 2023-01-22 around 09:18, at Shop, I experienced/reported an incident described as Credit card cloning. My account is: The internal auditor observed highly irregular transaction entries passing through the shop around 09:18. Closer inspection confirmed a premeditated instance of credit card cloning, with the perpetrator executing unauthorized balance transfers using fraudulent credentials before logging out.. I request that the information be recorded, that appropriate lawful guidance or action be considered, and that I be told if any further documents or details are needed. This draft does not assert guilt, authenticate evidence, or state that an FIR has already been filed.","Case intake: Financial Fraud / Credit card cloning; location Shop, Tamil Nadu; incident date/time 2023-01-22 09:18; danger=No; threat=False; injury=False; property=True; police_contacted=True; legal_help_requested=True; event_ids=EVT000010_001;EVT000010_002; key remaining gaps: optional: institution_notified",Carry identity proof if needed; written timeline; location details; screenshots/photos/messages; receipts or documents where applicable; medical records if injury exists; property or account details if relevant; names/contact details of witnesses if safely available; copies of any prior complaint or authority response.,The internal auditor observed highly irregular transaction entries passing through the shop around 09:18,optional: institution_notified,No contradiction linked in slot annotations or clarification answers.,"No immediate danger is recorded, but reassess safety before taking action. Notify the financial institution quickly, preserve transaction records, and consider police/cyber reporting depending on facts. Police already contacted: True. Legal help requested: True.",LP_FINANCIAL_CYBER_FRAUD_001;LP_CYBER_REPORTING_001;LP_DIGITAL_EVIDENCE_001,0,False,5,4,True,team-reviewed,REV622,Train
